Diameter,Depth (nm),Depth (um),Aspect Ratio
0.277812849,21.9,0.0219,0.078830047
0.260452733,14.55,0.01455,0.055864263
0.269272133,13,0.013,0.048278297
0.267948533,30.75,0.03075,0.114760845
0.224330471,26.2,0.0262,0.11679198
0.25173328,15.4,0.0154,0.06117586
0.277812849,13.25,0.01325,0.047693978
0.328121828,19.75,0.01975,0.060191058
0.28842925,19.2,0.0192,0.066567451
0.188236688,13.9,0.0139,0.073843203
0.303588873,13.8,0.0138,0.045456211
0.287461294,21.1,0.0211,0.073401186
0.329184894,14.75,0.01475,0.044807645
0.226840048,15.25,0.01525,0.067227988
0.319065829,19.65,0.01965,0.061586037
0.231832803,22.55,0.02255,0.097268375
0.310944178,10.25,0.01025,0.032964116
0.303431404,18.75,0.01875,0.061793208
0.323722197,22.05,0.02205,0.068113958
0.311105286,22.25,0.02225,0.071519196
0.255256809,7.35,0.00735,0.028794531
0.237,23.15,0.02315,0.097679325
0.331656002,23.15,0.02315,0.069801239
0.352293307,29.55,0.02955,0.083878971
0.246095304,14.5,0.0145,0.058920263
0.320997448,14.75,0.01475,0.045950521
0.202776494,16,0.016,0.078904609
0.383235692,13.4,0.0134,0.034965428
0.292381812,16.95,0.01695,0.057972142
0.301719206,15,0.015,0.049715098
0.255256809,7.2,0.0072,0.028206887
0.27642924,4.45,0.00445,0.016098152
0.237,20.95,0.02095,0.088396624
0.303636677,12.35,0.01235,0.040673611
0.304291572,11.8,0.0118,0.038778596
0.373361295,15.5,0.0155,0.041514748
0.31153477,15.85,0.01585,0.050877146
0.171264141,13.45,0.01345,0.078533661
0.289783861,32.85,0.03285,0.11336035
0.297393236,14.2,0.0142,0.047748228
0.328607863,18,0.018,0.054776535
0.241693526,10,0.01,0.041374712
0.291156056,10.2,0.0102,0.035032759
0.1896,13.95,0.01395,0.073575949
0.301375316,10.15,0.01015,0.033678936
0.292381812,11.4,0.0114,0.038990113
0.149891963,17.15,0.01715,0.114415741
0.312831768,15.35,0.01535,0.049067907
0.254643433,14.55,0.01455,0.057138721
0.270923193,8.6,0.0086,0.031743314
0.222407147,6.35,0.00635,0.028551241
0.237,10,0.01,0.042194093
0.224330471,10.2,0.0102,0.045468634
0.321152747,7.9,0.0079,0.024598887
0.172279392,15.1,0.0151,0.087648324
0.26455205,11.8,0.0118,0.044603699
0.237082701,14.3,0.0143,0.060316505
0.355127744,12.75,0.01275,0.035902574
0.231902801,55.85,0.05585,0.240833658
0.237,8.5,0.0085,0.035864979
0.358108077,11.75,0.01175,0.032811324
0.250592123,13.9,0.0139,0.055468623
0.255256809,14.1,0.0141,0.055238487
