# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.331999999999999851e+00 4.188000000000000256e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.444999999999999840e+00 4.428000000000000114e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.553999999999999826e+00 4.657000000000000028e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.657999999999999918e+00 4.878000000000000114e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.758999999999999897e+00 5.090999999999999659e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.855999999999999872e+00 5.296000000000000085e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.948999999999999844e+00 5.493999999999999773e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.040000000000000036e+00 5.685999999999999943e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.128000000000000114e+00 5.872999999999999687e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.297000000000000153e+00 6.229999999999999716e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.496999999999999886e+00 6.651999999999999602e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.686999999999999833e+00 7.050000000000000000e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.866999999999999993e+00 7.428000000000000114e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.038000000000000256e+00 7.787000000000000455e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.203000000000000291e+00 8.129999999999999716e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.362000000000000099e+00 8.459000000000000341e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.514999999999999680e+00 8.775000000000000000e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.663000000000000256e+00 9.079000000000000625e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.945999999999999730e+00 9.656999999999999318e+01 5.000000000000000104e-04
4.999989999999999990e-02 5.214000000000000412e+00 1.020000000000000000e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.467999999999999972e+00 1.070999999999999943e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.711000000000000298e+00 1.119000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 5.943999999999999950e+00 1.165000000000000000e+02 6.000000000000000559e-04
6.999990000000000379e-02 6.168999999999999595e+00 1.209000000000000057e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.594999999999999751e+00 1.290999999999999943e+02 6.999999999999999929e-04
8.999989999999999379e-02 6.995000000000000107e+00 1.366999999999999886e+02 6.999999999999999929e-04
9.999990000000000268e-02 7.373000000000000220e+00 1.438000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.732999999999999652e+00 1.504000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 8.076999999999999957e+00 1.565999999999999943e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.407000000000000028e+00 1.625000000000000000e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.724000000000000199e+00 1.680999999999999943e+02 9.000000000000000838e-04
1.499989999999999934e-01 9.029999999999999361e+00 1.734000000000000057e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.326000000000000512e+00 1.785000000000000000e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.612999999999999545e+00 1.834000000000000057e+02 1.000000000000000021e-03
1.799989999999999923e-01 9.891999999999999460e+00 1.880000000000000000e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.042999999999999972e+01 1.968000000000000114e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.106000000000000050e+01 2.069000000000000057e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.166000000000000014e+01 2.161999999999999886e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.223000000000000043e+01 2.248000000000000114e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.276999999999999957e+01 2.328000000000000114e+02 1.399999999999999986e-03
3.249990000000000379e-01 1.328999999999999915e+01 2.403000000000000114e+02 1.399999999999999986e-03
3.499990000000000046e-01 1.378999999999999915e+01 2.473000000000000114e+02 1.500000000000000031e-03
3.749990000000000268e-01 1.427999999999999936e+01 2.539000000000000057e+02 1.500000000000000031e-03
3.999990000000000490e-01 1.475000000000000000e+01 2.601999999999999886e+02 1.600000000000000077e-03
4.499990000000000379e-01 1.564000000000000057e+01 2.718000000000000114e+02 1.700000000000000122e-03
4.999990000000000268e-01 1.648999999999999844e+01 2.823999999999999773e+02 1.800000000000000168e-03
5.499990000000000157e-01 1.728999999999999915e+01 2.920000000000000000e+02 1.899999999999999996e-03
5.999990000000000601e-01 1.805999999999999872e+01 3.008999999999999773e+02 2.000000000000000042e-03
6.499989999999999934e-01 1.880000000000000071e+01 3.091999999999999886e+02 2.100000000000000304e-03
6.999990000000000379e-01 1.951000000000000156e+01 3.168999999999999773e+02 2.200000000000000133e-03
7.999990000000000157e-01 2.085000000000000142e+01 3.308000000000000114e+02 2.400000000000000223e-03
8.999989999999999934e-01 2.212000000000000099e+01 3.431000000000000227e+02 2.600000000000000314e-03
9.999990000000000823e-01 2.332000000000000028e+01 3.541000000000000227e+02 2.700000000000000143e-03
1.100000000000000089e+00 2.444999999999999929e+01 3.641000000000000227e+02 2.900000000000000234e-03
1.199999999999999956e+00 2.553999999999999915e+01 3.731000000000000227e+02 3.100000000000000325e-03
1.300000000000000044e+00 2.657999999999999829e+01 3.813000000000000114e+02 3.200000000000000153e-03
1.399999999999999911e+00 2.758999999999999986e+01 3.888999999999999773e+02 3.400000000000000244e-03
1.500000000000000000e+00 2.855999999999999872e+01 3.958999999999999773e+02 3.500000000000000073e-03
1.600000000000000089e+00 2.948999999999999844e+01 4.023999999999999773e+02 3.700000000000000164e-03
1.699999999999999956e+00 3.039999999999999858e+01 4.083999999999999773e+02 3.900000000000000255e-03
1.800000000000000044e+00 3.128000000000000114e+01 4.141000000000000227e+02 4.000000000000000083e-03
2.000000000000000000e+00 3.296999999999999886e+01 4.243000000000000114e+02 4.300000000000000003e-03
2.250000000000000000e+00 3.496999999999999886e+01 4.353000000000000114e+02 4.700000000000000185e-03
2.500000000000000000e+00 3.686999999999999744e+01 4.448999999999999773e+02 5.000000000000000104e-03
2.750000000000000000e+00 3.867000000000000171e+01 4.533000000000000114e+02 5.400000000000000286e-03
3.000000000000000000e+00 4.038000000000000256e+01 4.606000000000000227e+02 5.700000000000000205e-03
3.250000000000000000e+00 4.203000000000000114e+01 4.671000000000000227e+02 6.000000000000000125e-03
3.500000000000000000e+00 4.361999999999999744e+01 4.728999999999999773e+02 6.400000000000000307e-03
3.750000000000000000e+00 4.514999999999999858e+01 4.780000000000000000e+02 6.700000000000000226e-03
4.000000000000000000e+00 4.663000000000000256e+01 4.826999999999999886e+02 7.000000000000000146e-03
4.500000000000000000e+00 4.946000000000000085e+01 4.905000000000000000e+02 7.700000000000000247e-03
5.000000000000000000e+00 5.214000000000000057e+01 4.968999999999999773e+02 8.300000000000000086e-03
5.500000000000000000e+00 5.467999999999999972e+01 5.021999999999999886e+02 9.000000000000001055e-03
6.000000000000000000e+00 5.710999999999999943e+01 5.063999999999999773e+02 9.600000000000000894e-03
6.500000000000000000e+00 5.945000000000000284e+01 5.098999999999999773e+02 1.030000000000000013e-02
7.000000000000000000e+00 6.168999999999999773e+01 5.127000000000000455e+02 1.089999999999999997e-02
8.000000000000000000e+00 6.595000000000000284e+01 5.167999999999999545e+02 1.210000000000000138e-02
9.000000000000000000e+00 6.995000000000000284e+01 5.192000000000000455e+02 1.340000000000000045e-02
1.000000000000000000e+01 7.373000000000000398e+01 5.205000000000000000e+02 1.460000000000000013e-02
1.100000000000000000e+01 7.732999999999999829e+01 5.207999999999999545e+02 1.580000000000000154e-02
1.200000000000000000e+01 8.076999999999999602e+01 5.203999999999999773e+02 1.710000000000000062e-02
1.300000000000000000e+01 8.406999999999999318e+01 5.195000000000000000e+02 1.830000000000000029e-02
1.400000000000000000e+01 8.723999999999999488e+01 5.181000000000000227e+02 1.949999999999999997e-02
1.500000000000000000e+01 9.029999999999999716e+01 5.162999999999999545e+02 2.080000000000000251e-02
1.600000000000000000e+01 9.326999999999999602e+01 5.142999999999999545e+02 2.200000000000000219e-02
1.700000000000000000e+01 9.614000000000000057e+01 5.121000000000000227e+02 2.330000000000000127e-02
1.800000000000000000e+01 9.892000000000000171e+01 5.096999999999999886e+02 2.450000000000000094e-02
2.000000000000000000e+01 1.042999999999999972e+02 5.043999999999999773e+02 2.699999999999999969e-02
2.250000000000000000e+01 1.105999999999999943e+02 4.973999999999999773e+02 3.020000000000000115e-02
2.500000000000000000e+01 1.165999999999999943e+02 4.901000000000000227e+02 3.339999999999999913e-02
2.750000000000000000e+01 1.222999999999999972e+02 4.826000000000000227e+02 3.660000000000000059e-02
3.000000000000000000e+01 1.277000000000000028e+02 4.751999999999999886e+02 3.980000000000000204e-02
3.250000000000000000e+01 1.329000000000000057e+02 4.678000000000000114e+02 4.309999999999999942e-02
3.500000000000000000e+01 1.379000000000000057e+02 4.606000000000000227e+02 4.640000000000000374e-02
3.750000000000000000e+01 1.428000000000000114e+02 4.535000000000000000e+02 4.970000000000000112e-02
4.000000000000000000e+01 1.475000000000000000e+02 4.466000000000000227e+02 5.300000000000000544e-02
4.500000000000000000e+01 1.564000000000000057e+02 4.333000000000000114e+02 5.980000000000000593e-02
5.000000000000000000e+01 1.649000000000000057e+02 4.206999999999999886e+02 6.670000000000000928e-02
5.500000000000000000e+01 1.735000000000000000e+02 4.088999999999999773e+02 7.359999999999999876e-02
6.000000000000000000e+01 1.839000000000000057e+02 3.978000000000000114e+02 8.060000000000000497e-02
