# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.592999999999999972e+00 4.199000000000000199e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.671000000000000041e+00 4.439000000000000057e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.745000000000000107e+00 4.670000000000000284e+01 3.000000000000000279e-04
1.299990000000000000e-02 1.816000000000000059e+00 4.890999999999999659e+01 3.000000000000000279e-04
1.399990000000000089e-02 1.885000000000000009e+00 5.103999999999999915e+01 3.000000000000000279e-04
1.499990000000000004e-02 1.951000000000000068e+00 5.310000000000000142e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.015000000000000124e+00 5.509000000000000341e+01 4.000000000000000192e-04
1.699990000000000182e-02 2.076999999999999957e+00 5.702000000000000313e+01 4.000000000000000192e-04
1.799989999999999923e-02 2.137000000000000011e+00 5.889000000000000057e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.253000000000000114e+00 6.246999999999999886e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.390000000000000124e+00 6.670999999999999375e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.519000000000000128e+00 7.070000000000000284e+01 4.000000000000000192e-04
2.749990000000000073e-02 2.641999999999999904e+00 7.448000000000000398e+01 4.000000000000000192e-04
2.999989999999999948e-02 2.758999999999999897e+00 7.809000000000000341e+01 5.000000000000000104e-04
3.249989999999999823e-02 2.871999999999999886e+00 8.153000000000000114e+01 5.000000000000000104e-04
3.499990000000000046e-02 2.980999999999999872e+00 8.482999999999999829e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.084999999999999964e+00 8.800000000000000000e+01 5.000000000000000104e-04
3.999989999999999796e-02 3.185999999999999943e+00 9.104999999999999716e+01 5.000000000000000104e-04
4.499989999999999546e-02 3.379999999999999893e+00 9.684000000000000341e+01 5.000000000000000104e-04
4.999989999999999990e-02 3.561999999999999833e+00 1.022999999999999972e+02 6.000000000000000559e-04
5.499989999999999740e-02 3.736000000000000210e+00 1.074000000000000057e+02 6.000000000000000559e-04
5.999989999999999490e-02 3.902000000000000135e+00 1.122999999999999972e+02 6.000000000000000559e-04
6.499989999999999934e-02 4.062000000000000277e+00 1.169000000000000057e+02 6.000000000000000559e-04
6.999990000000000379e-02 4.214999999999999858e+00 1.212999999999999972e+02 6.999999999999999929e-04
7.999989999999999879e-02 4.506000000000000227e+00 1.295000000000000000e+02 6.999999999999999929e-04
8.999989999999999379e-02 4.780000000000000249e+00 1.370999999999999943e+02 6.999999999999999929e-04
9.999990000000000268e-02 5.038000000000000256e+00 1.441999999999999886e+02 8.000000000000000383e-04
1.100000000000000006e-01 5.283999999999999808e+00 1.509000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 5.519000000000000128e+00 1.570999999999999943e+02 9.000000000000000838e-04
