# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.901999999999999913e+00 3.634000000000000341e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.995000000000000107e+00 3.834000000000000341e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.084000000000000075e+00 4.024000000000000199e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.169000000000000039e+00 4.206000000000000227e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.250999999999999890e+00 4.381000000000000227e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.330000000000000071e+00 4.550000000000000000e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.406000000000000139e+00 4.711999999999999744e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.480999999999999872e+00 4.868999999999999773e+01 3.000000000000000279e-04
1.799989999999999923e-02 2.552000000000000046e+00 5.021000000000000085e+01 4.000000000000000192e-04
1.999990000000000101e-02 2.690999999999999837e+00 5.310999999999999943e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.854000000000000092e+00 5.652000000000000313e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.008000000000000007e+00 5.971999999999999886e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.154999999999999805e+00 6.274000000000000199e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.294999999999999929e+00 6.559999999999999432e+01 4.000000000000000192e-04
3.249989999999999823e-02 3.430000000000000160e+00 6.832999999999999829e+01 5.000000000000000104e-04
3.499990000000000046e-02 3.559000000000000163e+00 7.093000000000000682e+01 5.000000000000000104e-04
3.749989999999999574e-02 3.684000000000000163e+00 7.340999999999999659e+01 5.000000000000000104e-04
3.999989999999999796e-02 3.805000000000000160e+00 7.579999999999999716e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.035999999999999588e+00 8.031000000000000227e+01 5.000000000000000104e-04
4.999989999999999990e-02 4.253999999999999559e+00 8.451000000000000512e+01 6.000000000000000559e-04
5.499989999999999740e-02 4.461999999999999744e+00 8.845000000000000284e+01 6.000000000000000559e-04
5.999989999999999490e-02 4.660000000000000142e+00 9.217000000000000171e+01 6.000000000000000559e-04
6.499989999999999934e-02 4.849999999999999645e+00 9.568000000000000682e+01 6.000000000000000559e-04
6.999990000000000379e-02 5.033999999999999808e+00 9.901000000000000512e+01 6.999999999999999929e-04
7.999989999999999879e-02 5.381000000000000227e+00 1.052000000000000028e+02 6.999999999999999929e-04
8.999989999999999379e-02 5.708000000000000185e+00 1.109000000000000057e+02 8.000000000000000383e-04
9.999990000000000268e-02 6.016000000000000014e+00 1.162000000000000028e+02 8.000000000000000383e-04
1.100000000000000006e-01 6.309999999999999609e+00 1.210000000000000000e+02 8.000000000000000383e-04
1.199999999999999956e-01 6.591000000000000192e+00 1.255999999999999943e+02 9.000000000000000838e-04
1.300000000000000044e-01 6.860000000000000320e+00 1.299000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 7.118999999999999773e+00 1.339000000000000057e+02 9.000000000000000838e-04
1.499989999999999934e-01 7.368999999999999773e+00 1.378000000000000114e+02 1.000000000000000021e-03
1.599990000000000023e-01 7.610000000000000320e+00 1.414000000000000057e+02 1.000000000000000021e-03
1.699990000000000112e-01 7.844000000000000306e+00 1.449000000000000057e+02 1.100000000000000066e-03
1.799989999999999923e-01 8.071999999999999176e+00 1.480999999999999943e+02 1.100000000000000066e-03
1.999990000000000101e-01 8.507999999999999119e+00 1.543000000000000114e+02 1.200000000000000112e-03
2.249990000000000046e-01 9.025000000000000355e+00 1.614000000000000057e+02 1.200000000000000112e-03
2.499989999999999990e-01 9.512999999999999901e+00 1.678000000000000114e+02 1.300000000000000157e-03
2.749990000000000490e-01 9.977000000000000313e+00 1.735999999999999943e+02 1.399999999999999986e-03
2.999990000000000157e-01 1.041999999999999993e+01 1.790000000000000000e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.084999999999999964e+01 1.840999999999999943e+02 1.500000000000000031e-03
3.499990000000000046e-01 1.125999999999999979e+01 1.888000000000000114e+02 1.600000000000000077e-03
3.749990000000000268e-01 1.165000000000000036e+01 1.930999999999999943e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.202999999999999936e+01 1.973000000000000114e+02 1.700000000000000122e-03
4.499990000000000379e-01 1.275999999999999979e+01 2.048000000000000114e+02 1.899999999999999996e-03
4.999990000000000268e-01 1.344999999999999929e+01 2.115999999999999943e+02 2.000000000000000042e-03
5.499990000000000157e-01 1.410999999999999943e+01 2.176999999999999886e+02 2.100000000000000304e-03
5.999990000000000601e-01 1.474000000000000021e+01 2.233000000000000114e+02 2.200000000000000133e-03
6.499989999999999934e-01 1.533999999999999986e+01 2.284000000000000057e+02 2.400000000000000223e-03
6.999990000000000379e-01 1.591999999999999993e+01 2.330999999999999943e+02 2.500000000000000052e-03
7.999990000000000157e-01 1.701999999999999957e+01 2.415000000000000000e+02 2.700000000000000143e-03
8.999989999999999934e-01 1.805000000000000071e+01 2.486999999999999886e+02 2.900000000000000234e-03
9.999990000000000823e-01 1.903000000000000114e+01 2.550999999999999943e+02 3.100000000000000325e-03
1.100000000000000089e+00 1.996000000000000085e+01 2.608000000000000114e+02 3.299999999999999982e-03
1.199999999999999956e+00 2.083999999999999986e+01 2.658000000000000114e+02 3.600000000000000335e-03
1.300000000000000044e+00 2.169000000000000128e+01 2.703999999999999773e+02 3.799999999999999992e-03
1.399999999999999911e+00 2.251000000000000156e+01 2.743999999999999773e+02 4.000000000000000083e-03
1.500000000000000000e+00 2.330000000000000071e+01 2.781000000000000227e+02 4.200000000000000608e-03
1.600000000000000089e+00 2.407000000000000028e+01 2.815000000000000000e+02 4.400000000000000265e-03
1.699999999999999956e+00 2.480999999999999872e+01 2.846000000000000227e+02 4.599999999999999922e-03
1.800000000000000044e+00 2.553000000000000114e+01 2.873999999999999773e+02 4.800000000000000447e-03
2.000000000000000000e+00 2.691000000000000014e+01 2.923999999999999773e+02 5.200000000000000629e-03
2.250000000000000000e+00 2.853999999999999915e+01 2.976000000000000227e+02 5.599999999999999943e-03
2.500000000000000000e+00 3.008999999999999986e+01 3.018000000000000114e+02 6.100000000000000387e-03
2.750000000000000000e+00 3.155000000000000071e+01 3.053999999999999773e+02 6.599999999999999964e-03
3.000000000000000000e+00 3.296000000000000085e+01 3.083000000000000114e+02 7.100000000000000408e-03
3.250000000000000000e+00 3.429999999999999716e+01 3.108000000000000114e+02 7.500000000000000590e-03
3.500000000000000000e+00 3.560000000000000142e+01 3.128000000000000114e+02 8.000000000000000167e-03
3.750000000000000000e+00 3.685000000000000142e+01 3.145000000000000000e+02 8.400000000000001216e-03
4.000000000000000000e+00 3.806000000000000227e+01 3.158999999999999773e+02 8.899999999999999925e-03
4.500000000000000000e+00 4.036999999999999744e+01 3.178999999999999773e+02 9.799999999999999684e-03
5.000000000000000000e+00 4.254999999999999716e+01 3.191000000000000227e+02 1.070000000000000118e-02
5.500000000000000000e+00 4.463000000000000256e+01 3.198000000000000114e+02 1.170000000000000033e-02
6.000000000000000000e+00 4.660999999999999943e+01 3.200000000000000000e+02 1.260000000000000009e-02
6.500000000000000000e+00 4.852000000000000313e+01 3.198000000000000114e+02 1.349999999999999985e-02
7.000000000000000000e+00 5.035000000000000142e+01 3.193999999999999773e+02 1.440000000000000134e-02
8.000000000000000000e+00 5.382999999999999829e+01 3.178000000000000114e+02 1.619999999999999912e-02
9.000000000000000000e+00 5.709000000000000341e+01 3.155000000000000000e+02 1.810000000000000150e-02
1.000000000000000000e+01 6.017999999999999972e+01 3.128000000000000114e+02 2.000000000000000042e-02
1.100000000000000000e+01 6.311999999999999744e+01 3.098999999999999773e+02 2.179999999999999993e-02
1.200000000000000000e+01 6.593000000000000682e+01 3.068000000000000114e+02 2.370000000000000231e-02
1.300000000000000000e+01 6.862000000000000455e+01 3.036000000000000227e+02 2.560000000000000123e-02
1.400000000000000000e+01 7.121999999999999886e+01 3.003000000000000114e+02 2.750000000000000014e-02
1.500000000000000000e+01 7.371999999999999886e+01 2.968999999999999773e+02 2.950000000000000192e-02
1.600000000000000000e+01 7.614000000000000057e+01 2.936000000000000227e+02 3.140000000000000430e-02
1.700000000000000000e+01 7.848000000000000398e+01 2.903000000000000114e+02 3.339999999999999913e-02
1.800000000000000000e+01 8.076000000000000512e+01 2.870000000000000000e+02 3.530000000000000498e-02
2.000000000000000000e+01 8.512999999999999545e+01 2.806000000000000227e+02 3.930000000000000160e-02
2.250000000000000000e+01 9.029999999999999716e+01 2.728999999999999773e+02 4.440000000000000197e-02
2.500000000000000000e+01 9.518000000000000682e+01 2.655000000000000000e+02 4.950000000000000233e-02
2.750000000000000000e+01 9.982999999999999829e+01 2.585000000000000000e+02 5.480000000000000149e-02
3.000000000000000000e+01 1.042999999999999972e+02 2.519000000000000057e+02 6.000000000000000472e-02
3.250000000000000000e+01 1.085000000000000000e+02 2.456999999999999886e+02 6.539999999999999980e-02
3.500000000000000000e+01 1.125999999999999943e+02 2.396999999999999886e+02 7.080000000000000182e-02
3.750000000000000000e+01 1.165999999999999943e+02 2.340999999999999943e+02 7.620000000000000384e-02
4.000000000000000000e+01 1.281999999999999886e+02 2.288000000000000114e+02 8.170000000000000873e-02
4.500000000000000000e+01 1.470999999999999943e+02 2.190000000000000000e+02 9.240000000000000990e-02
5.000000000000000000e+01 1.585000000000000000e+02 2.100999999999999943e+02 1.031000000000000111e-01
5.500000000000000000e+01 1.655000000000000000e+02 2.020000000000000000e+02 1.138000000000000123e-01
6.000000000000000000e+01 1.700000000000000000e+02 1.945999999999999943e+02 1.247000000000000053e-01
6.500000000000000000e+01 1.733000000000000114e+02 1.878000000000000114e+02 1.357000000000000151e-01
7.000000000000000000e+01 1.759000000000000057e+02 1.815999999999999943e+02 1.470000000000000195e-01
8.000000000000000000e+01 1.806999999999999886e+02 1.705000000000000000e+02 1.700000000000000122e-01
9.000000000000000000e+01 1.861999999999999886e+02 1.608000000000000114e+02 1.936000000000000221e-01
1.000000000000000000e+02 1.925999999999999943e+02 1.524000000000000057e+02 2.176000000000000156e-01
