# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.646999999999999797e+00 2.678999999999999826e+00 4.000000000000000192e-04
1.099989999999999996e-02 2.775999999999999801e+00 2.766000000000000014e+00 4.000000000000000192e-04
1.199990000000000084e-02 2.899999999999999911e+00 2.845000000000000195e+00 5.000000000000000104e-04
1.299990000000000000e-02 3.017999999999999794e+00 2.918000000000000149e+00 5.000000000000000104e-04
1.399990000000000089e-02 3.132000000000000117e+00 2.987000000000000099e+00 5.000000000000000104e-04
1.499990000000000004e-02 3.241999999999999993e+00 3.049999999999999822e+00 5.000000000000000104e-04
1.599990000000000093e-02 3.349000000000000199e+00 3.109999999999999876e+00 6.000000000000000559e-04
1.699990000000000182e-02 3.451999999999999957e+00 3.165000000000000036e+00 6.000000000000000559e-04
1.799989999999999923e-02 3.552000000000000046e+00 3.217999999999999972e+00 6.000000000000000559e-04
1.999990000000000101e-02 3.744000000000000217e+00 3.314999999999999947e+00 6.000000000000000559e-04
2.249989999999999976e-02 3.971000000000000085e+00 3.422000000000000153e+00 6.999999999999999929e-04
2.499990000000000198e-02 4.185999999999999943e+00 3.516999999999999904e+00 6.999999999999999929e-04
2.749990000000000073e-02 4.389999999999999680e+00 3.601999999999999869e+00 8.000000000000000383e-04
2.999989999999999948e-02 4.584999999999999964e+00 3.677999999999999936e+00 8.000000000000000383e-04
3.249989999999999823e-02 4.772000000000000242e+00 3.748000000000000220e+00 9.000000000000000838e-04
3.499990000000000046e-02 4.953000000000000291e+00 3.810999999999999943e+00 9.000000000000000838e-04
3.749989999999999574e-02 5.126000000000000334e+00 3.867999999999999883e+00 1.000000000000000021e-03
3.999989999999999796e-02 5.294999999999999929e+00 3.920999999999999819e+00 1.000000000000000021e-03
4.499989999999999546e-02 5.615999999999999659e+00 4.016000000000000014e+00 1.100000000000000066e-03
4.999989999999999990e-02 5.919999999999999929e+00 4.097000000000000419e+00 1.200000000000000112e-03
5.499989999999999740e-02 6.208000000000000185e+00 4.166999999999999815e+00 1.300000000000000157e-03
5.999989999999999490e-02 6.485000000000000320e+00 4.229000000000000092e+00 1.399999999999999986e-03
6.499989999999999934e-02 6.748999999999999666e+00 4.283000000000000362e+00 1.500000000000000031e-03
6.999990000000000379e-02 7.003999999999999559e+00 4.331000000000000405e+00 1.500000000000000031e-03
7.999989999999999879e-02 7.488000000000000433e+00 4.411999999999999922e+00 1.700000000000000122e-03
8.999989999999999379e-02 7.942000000000000171e+00 4.475999999999999979e+00 1.899999999999999996e-03
9.999990000000000268e-02 8.371000000000000441e+00 4.528999999999999915e+00 2.000000000000000042e-03
1.100000000000000006e-01 8.779999999999999361e+00 4.570999999999999730e+00 2.200000000000000133e-03
1.199999999999999956e-01 9.169999999999999929e+00 4.605000000000000426e+00 2.299999999999999961e-03
1.300000000000000044e-01 9.544999999999999929e+00 4.633000000000000007e+00 2.500000000000000052e-03
1.399989999999999846e-01 9.904999999999999361e+00 4.655999999999999694e+00 2.700000000000000143e-03
1.499989999999999934e-01 1.025000000000000000e+01 4.674000000000000377e+00 2.799999999999999972e-03
1.599990000000000023e-01 1.058999999999999986e+01 4.687999999999999723e+00 3.000000000000000062e-03
1.699990000000000112e-01 1.091999999999999993e+01 4.698999999999999844e+00 3.100000000000000325e-03
1.799989999999999923e-01 1.123000000000000043e+01 4.706999999999999851e+00 3.299999999999999982e-03
1.999990000000000101e-01 1.183999999999999986e+01 4.716999999999999638e+00 3.600000000000000335e-03
2.249990000000000046e-01 1.256000000000000050e+01 4.717999999999999972e+00 3.900000000000000255e-03
2.499989999999999990e-01 1.324000000000000021e+01 4.711999999999999744e+00 4.300000000000000003e-03
2.749990000000000490e-01 1.388000000000000078e+01 4.698999999999999844e+00 4.700000000000000185e-03
2.999990000000000157e-01 1.450000000000000000e+01 4.681000000000000050e+00 5.100000000000000366e-03
3.249990000000000379e-01 1.508999999999999986e+01 4.660999999999999588e+00 5.400000000000000286e-03
3.499990000000000046e-01 1.566000000000000014e+01 4.636999999999999567e+00 5.800000000000000468e-03
3.749990000000000268e-01 1.621000000000000085e+01 4.612000000000000099e+00 6.200000000000000649e-03
3.999990000000000490e-01 1.673999999999999844e+01 4.584999999999999964e+00 6.500000000000000569e-03
4.499990000000000379e-01 1.776000000000000156e+01 4.527999999999999581e+00 7.300000000000000065e-03
4.999990000000000268e-01 1.871999999999999886e+01 4.467999999999999972e+00 8.000000000000000167e-03
5.499990000000000157e-01 1.962999999999999901e+01 4.408000000000000362e+00 8.700000000000001135e-03
5.999990000000000601e-01 2.051000000000000156e+01 4.347999999999999865e+00 9.400000000000000369e-03
6.499989999999999934e-01 2.133999999999999986e+01 4.288000000000000256e+00 1.020000000000000073e-02
6.999990000000000379e-01 2.214999999999999858e+01 4.227999999999999758e+00 1.089999999999999997e-02
7.999990000000000157e-01 2.367999999999999972e+01 4.113999999999999879e+00 1.230000000000000017e-02
8.999989999999999934e-01 2.510999999999999943e+01 4.003999999999999559e+00 1.370000000000000037e-02
9.999990000000000823e-01 2.646999999999999886e+01 3.899999999999999911e+00 1.519999999999999997e-02
1.100000000000000089e+00 2.776999999999999957e+01 3.801000000000000156e+00 1.660000000000000017e-02
1.199999999999999956e+00 2.900000000000000000e+01 3.708000000000000185e+00 1.800000000000000211e-02
1.300000000000000044e+00 3.017999999999999972e+01 3.620000000000000107e+00 1.940000000000000058e-02
1.399999999999999911e+00 3.132000000000000028e+01 3.536000000000000032e+00 2.080000000000000251e-02
1.500000000000000000e+00 3.242000000000000171e+01 3.456999999999999851e+00 2.220000000000000098e-02
1.600000000000000089e+00 3.349000000000000199e+01 3.382000000000000117e+00 2.359999999999999945e-02
1.699999999999999956e+00 3.452000000000000313e+01 3.310999999999999943e+00 2.500000000000000139e-02
1.800000000000000044e+00 3.552000000000000313e+01 3.242999999999999883e+00 2.639999999999999986e-02
2.000000000000000000e+00 3.743999999999999773e+01 3.116999999999999993e+00 2.910000000000000087e-02
2.250000000000000000e+00 3.932000000000000028e+01 2.975000000000000089e+00 3.250000000000000111e-02
2.500000000000000000e+00 4.110000000000000142e+01 2.846999999999999975e+00 3.590000000000000135e-02
2.750000000000000000e+00 4.282000000000000028e+01 2.732000000000000206e+00 3.930000000000000160e-02
3.000000000000000000e+00 4.446999999999999886e+01 2.628000000000000114e+00 4.259999999999999898e-02
3.250000000000000000e+00 4.606000000000000227e+01 2.532999999999999918e+00 4.590000000000000330e-02
3.500000000000000000e+00 4.760000000000000142e+01 2.446000000000000174e+00 4.920000000000000068e-02
3.750000000000000000e+00 4.909000000000000341e+01 2.365000000000000213e+00 5.240000000000000213e-02
4.000000000000000000e+00 5.053999999999999915e+01 2.290999999999999925e+00 5.569999999999999951e-02
4.500000000000000000e+00 5.329999999999999716e+01 2.157999999999999918e+00 6.199999999999999956e-02
5.000000000000000000e+00 5.590999999999999659e+01 2.041999999999999815e+00 6.829999999999999960e-02
5.500000000000000000e+00 5.839999999999999858e+01 1.939999999999999947e+00 7.440000000000000779e-02
6.000000000000000000e+00 6.077000000000000313e+01 1.848999999999999977e+00 8.039999999999999925e-02
6.500000000000000000e+00 6.306000000000000227e+01 1.766999999999999904e+00 8.630000000000000171e-02
7.000000000000000000e+00 6.526999999999999602e+01 1.693999999999999950e+00 9.210000000000000131e-02
8.000000000000000000e+00 6.950000000000000000e+01 1.566999999999999948e+00 1.034000000000000058e-01
9.000000000000000000e+00 7.353000000000000114e+01 1.459999999999999964e+00 1.144000000000000017e-01
1.000000000000000000e+01 7.737999999999999545e+01 1.368999999999999995e+00 1.250000000000000000e-01
1.100000000000000000e+01 8.107999999999999829e+01 1.290000000000000036e+00 1.352000000000000146e-01
1.200000000000000000e+01 8.462000000000000455e+01 1.219999999999999973e+00 1.451999999999999957e-01
1.300000000000000000e+01 8.801000000000000512e+01 1.159000000000000030e+00 1.549999999999999989e-01
1.400000000000000000e+01 9.126000000000000512e+01 1.104999999999999982e+00 1.644000000000000183e-01
1.500000000000000000e+01 9.437000000000000455e+01 1.056000000000000050e+00 1.737000000000000210e-01
1.600000000000000000e+01 9.734000000000000341e+01 1.012000000000000011e+00 1.827000000000000013e-01
1.700000000000000000e+01 1.002000000000000028e+02 9.714000000000000412e-01 1.915000000000000036e-01
1.800000000000000000e+01 1.029000000000000057e+02 9.346999999999999753e-01 2.002000000000000168e-01
2.000000000000000000e+01 1.080000000000000000e+02 8.699999999999999956e-01 2.169999999999999984e-01
2.250000000000000000e+01 1.137999999999999972e+02 8.020000000000000462e-01 2.373000000000000109e-01
2.500000000000000000e+01 1.190000000000000000e+02 7.449999999999999956e-01 2.568000000000000282e-01
2.750000000000000000e+01 1.235999999999999943e+02 6.965000000000000080e-01 2.757000000000000006e-01
3.000000000000000000e+01 1.277999999999999972e+02 6.544999999999999707e-01 2.941000000000000281e-01
3.250000000000000000e+01 1.315000000000000000e+02 6.179000000000000048e-01 3.119999999999999996e-01
3.500000000000000000e+01 1.348000000000000114e+02 5.855000000000000204e-01 3.296000000000000041e-01
3.750000000000000000e+01 1.378000000000000114e+02 5.567999999999999616e-01 3.467999999999999972e-01
4.000000000000000000e+01 1.405000000000000000e+02 5.310000000000000275e-01 3.638000000000000123e-01
4.500000000000000000e+01 1.450000000000000000e+02 4.865999999999999770e-01 3.970000000000000195e-01
5.000000000000000000e+01 1.485000000000000000e+02 4.497999999999999776e-01 4.294999999999999929e-01
5.500000000000000000e+01 1.511999999999999886e+02 4.187000000000000166e-01 4.614000000000000323e-01
6.000000000000000000e+01 1.533000000000000114e+02 3.919000000000000261e-01 4.930000000000000493e-01
6.500000000000000000e+01 1.548000000000000114e+02 3.687000000000000277e-01 5.242999999999999883e-01
7.000000000000000000e+01 1.558000000000000114e+02 3.483999999999999875e-01 5.554000000000000048e-01
8.000000000000000000e+01 1.565999999999999943e+02 3.141999999999999793e-01 6.176000000000000378e-01
9.000000000000000000e+01 1.561999999999999886e+02 2.867000000000000104e-01 6.798000000000000709e-01
1.000000000000000000e+02 1.549000000000000057e+02 2.640000000000000124e-01 7.426000000000000378e-01
1.100000000000000000e+02 1.530000000000000000e+02 2.449000000000000066e-01 8.062000000000000277e-01
1.200000000000000000e+02 1.506999999999999886e+02 2.285999999999999976e-01 8.707000000000000295e-01
1.300000000000000000e+02 1.480999999999999943e+02 2.144999999999999962e-01 9.364000000000000101e-01
1.400000000000000000e+02 1.453000000000000114e+02 2.021999999999999909e-01 1.000000000000000000e+00
1.500000000000000000e+02 1.424000000000000057e+02 1.912999999999999978e-01 1.070000000000000062e+00
1.600000000000000000e+02 1.395000000000000000e+02 1.816000000000000114e-01 1.139999999999999902e+00
1.700000000000000000e+02 1.365999999999999943e+02 1.729999999999999871e-01 1.209999999999999964e+00
