# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.725000000000000089e+00 2.407000000000000028e+00 4.000000000000000192e-04
1.099989999999999996e-02 1.808999999999999941e+00 2.488999999999999879e+00 4.000000000000000192e-04
1.199990000000000084e-02 1.889000000000000012e+00 2.564000000000000057e+00 5.000000000000000104e-04
1.299990000000000000e-02 1.965999999999999970e+00 2.633999999999999897e+00 5.000000000000000104e-04
1.399990000000000089e-02 2.040999999999999925e+00 2.700000000000000178e+00 5.000000000000000104e-04
1.499990000000000004e-02 2.112000000000000099e+00 2.761000000000000121e+00 5.000000000000000104e-04
1.599990000000000093e-02 2.181000000000000050e+00 2.818000000000000060e+00 6.000000000000000559e-04
1.699990000000000182e-02 2.249000000000000110e+00 2.871999999999999886e+00 6.000000000000000559e-04
1.799989999999999923e-02 2.314000000000000057e+00 2.923000000000000043e+00 6.000000000000000559e-04
1.999990000000000101e-02 2.439000000000000057e+00 3.016999999999999904e+00 6.999999999999999929e-04
2.249989999999999976e-02 2.587000000000000188e+00 3.121999999999999886e+00 6.999999999999999929e-04
2.499990000000000198e-02 2.726999999999999869e+00 3.214999999999999858e+00 8.000000000000000383e-04
2.749990000000000073e-02 2.859999999999999876e+00 3.298999999999999932e+00 8.000000000000000383e-04
2.999989999999999948e-02 2.987000000000000099e+00 3.375000000000000000e+00 9.000000000000000838e-04
3.249989999999999823e-02 3.108999999999999986e+00 3.443999999999999950e+00 9.000000000000000838e-04
3.499990000000000046e-02 3.225999999999999979e+00 3.507000000000000117e+00 1.000000000000000021e-03
3.749989999999999574e-02 3.339999999999999858e+00 3.564999999999999947e+00 1.000000000000000021e-03
3.999989999999999796e-02 3.448999999999999844e+00 3.619000000000000217e+00 1.100000000000000066e-03
4.499989999999999546e-02 3.657999999999999918e+00 3.714999999999999858e+00 1.200000000000000112e-03
4.999989999999999990e-02 3.855999999999999872e+00 3.798000000000000043e+00 1.200000000000000112e-03
5.499989999999999740e-02 4.044999999999999929e+00 3.870999999999999996e+00 1.300000000000000157e-03
5.999989999999999490e-02 4.224000000000000199e+00 3.935000000000000053e+00 1.399999999999999986e-03
6.499989999999999934e-02 4.397000000000000242e+00 3.992999999999999883e+00 1.500000000000000031e-03
6.999990000000000379e-02 4.562999999999999723e+00 4.043999999999999595e+00 1.600000000000000077e-03
7.999989999999999879e-02 4.878000000000000114e+00 4.131000000000000227e+00 1.800000000000000168e-03
8.999989999999999379e-02 5.174000000000000377e+00 4.201999999999999957e+00 1.899999999999999996e-03
9.999990000000000268e-02 5.453999999999999737e+00 4.261000000000000121e+00 2.100000000000000304e-03
1.100000000000000006e-01 5.719999999999999751e+00 4.309000000000000163e+00 2.299999999999999961e-03
1.199999999999999956e-01 5.974000000000000199e+00 4.349999999999999645e+00 2.500000000000000052e-03
1.300000000000000044e-01 6.217999999999999972e+00 4.384000000000000341e+00 2.600000000000000314e-03
1.399989999999999846e-01 6.453000000000000291e+00 4.411999999999999922e+00 2.799999999999999972e-03
1.499989999999999934e-01 6.679000000000000270e+00 4.435999999999999943e+00 2.900000000000000234e-03
1.599990000000000023e-01 6.897999999999999687e+00 4.455000000000000071e+00 3.100000000000000325e-03
1.699990000000000112e-01 7.110999999999999766e+00 4.471000000000000085e+00 3.299999999999999982e-03
1.799989999999999923e-01 7.317000000000000171e+00 4.485000000000000320e+00 3.400000000000000244e-03
1.999990000000000101e-01 7.713000000000000078e+00 4.503000000000000114e+00 3.799999999999999992e-03
2.249990000000000046e-01 8.179999999999999716e+00 4.516000000000000014e+00 4.200000000000000608e-03
2.499989999999999990e-01 8.622999999999999332e+00 4.519000000000000128e+00 4.599999999999999922e-03
2.749990000000000490e-01 9.044000000000000483e+00 4.514999999999999680e+00 5.000000000000000104e-03
2.999990000000000157e-01 9.445999999999999730e+00 4.506000000000000227e+00 5.400000000000000286e-03
3.249990000000000379e-01 9.832000000000000739e+00 4.493000000000000327e+00 5.800000000000000468e-03
3.499990000000000046e-01 1.019999999999999929e+01 4.475999999999999979e+00 6.200000000000000649e-03
3.749990000000000268e-01 1.056000000000000050e+01 4.456999999999999851e+00 6.599999999999999964e-03
3.999990000000000490e-01 1.091000000000000014e+01 4.435999999999999943e+00 7.000000000000000146e-03
4.499990000000000379e-01 1.157000000000000028e+01 4.389999999999999680e+00 7.800000000000000509e-03
4.999990000000000268e-01 1.218999999999999950e+01 4.339999999999999858e+00 8.700000000000001135e-03
5.499990000000000157e-01 1.278999999999999915e+01 4.288000000000000256e+00 9.499999999999999764e-03
