# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.435999999999999943e+00 4.542000000000000171e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.604000000000000092e+00 4.813000000000000256e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.763999999999999790e+00 5.074000000000000199e+01 3.000000000000000279e-04
1.299990000000000000e-02 3.918000000000000149e+00 5.324000000000000199e+01 3.000000000000000279e-04
1.399990000000000089e-02 4.065999999999999837e+00 5.565999999999999659e+01 4.000000000000000192e-04
1.499990000000000004e-02 4.208999999999999631e+00 5.800999999999999801e+01 4.000000000000000192e-04
1.599990000000000093e-02 4.347000000000000419e+00 6.028000000000000114e+01 4.000000000000000192e-04
1.699990000000000182e-02 4.480999999999999872e+00 6.247999999999999687e+01 4.000000000000000192e-04
1.799989999999999923e-02 4.610000000000000320e+00 6.462999999999999545e+01 4.000000000000000192e-04
1.999990000000000101e-02 4.860000000000000320e+00 6.875000000000000000e+01 4.000000000000000192e-04
2.249989999999999976e-02 5.155000000000000249e+00 7.364000000000000057e+01 4.000000000000000192e-04
2.499990000000000198e-02 5.432999999999999829e+00 7.828000000000000114e+01 4.000000000000000192e-04
2.749990000000000073e-02 5.698999999999999844e+00 8.268999999999999773e+01 5.000000000000000104e-04
2.999989999999999948e-02 5.951999999999999957e+00 8.690000000000000568e+01 5.000000000000000104e-04
3.249989999999999823e-02 6.195000000000000284e+00 9.093999999999999773e+01 5.000000000000000104e-04
3.499990000000000046e-02 6.429000000000000270e+00 9.482999999999999829e+01 5.000000000000000104e-04
3.749989999999999574e-02 6.655000000000000249e+00 9.857999999999999829e+01 5.000000000000000104e-04
3.999989999999999796e-02 6.873000000000000220e+00 1.022000000000000028e+02 5.000000000000000104e-04
4.499989999999999546e-02 7.290000000000000036e+00 1.090999999999999943e+02 6.000000000000000559e-04
4.999989999999999990e-02 7.684000000000000163e+00 1.155999999999999943e+02 6.000000000000000559e-04
5.499989999999999740e-02 8.058999999999999275e+00 1.217999999999999972e+02 6.000000000000000559e-04
5.999989999999999490e-02 8.417999999999999261e+00 1.277000000000000028e+02 6.000000000000000559e-04
6.499989999999999934e-02 8.760999999999999233e+00 1.333000000000000114e+02 6.999999999999999929e-04
6.999990000000000379e-02 9.092000000000000526e+00 1.385999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 9.720000000000000639e+00 1.488000000000000114e+02 6.999999999999999929e-04
8.999989999999999379e-02 1.031000000000000050e+01 1.581999999999999886e+02 8.000000000000000383e-04
9.999990000000000268e-02 1.086999999999999922e+01 1.670000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 1.140000000000000036e+01 1.754000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 1.190000000000000036e+01 1.833000000000000114e+02 9.000000000000000838e-04
1.300000000000000044e-01 1.239000000000000057e+01 1.908000000000000114e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.285999999999999943e+01 1.979000000000000057e+02 9.000000000000000838e-04
1.499989999999999934e-01 1.331000000000000050e+01 2.048000000000000114e+02 1.000000000000000021e-03
1.599990000000000023e-01 1.375000000000000000e+01 2.113000000000000114e+02 1.000000000000000021e-03
1.699990000000000112e-01 1.416999999999999993e+01 2.175999999999999943e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.458000000000000007e+01 2.236999999999999886e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.536999999999999922e+01 2.351999999999999886e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.630000000000000071e+01 2.485999999999999943e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.717999999999999972e+01 2.610000000000000000e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.801999999999999957e+01 2.726000000000000227e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.882000000000000028e+01 2.835000000000000000e+02 1.300000000000000157e-03
3.249990000000000379e-01 1.958999999999999986e+01 2.936999999999999886e+02 1.399999999999999986e-03
3.499990000000000046e-01 2.032999999999999829e+01 3.033999999999999773e+02 1.399999999999999986e-03
3.749990000000000268e-01 2.103999999999999915e+01 3.126999999999999886e+02 1.500000000000000031e-03
3.999990000000000490e-01 2.173000000000000043e+01 3.213999999999999773e+02 1.500000000000000031e-03
4.499990000000000379e-01 2.305000000000000071e+01 3.378000000000000114e+02 1.600000000000000077e-03
4.999990000000000268e-01 2.430000000000000071e+01 3.528999999999999773e+02 1.700000000000000122e-03
5.499990000000000157e-01 2.548999999999999844e+01 3.668000000000000114e+02 1.800000000000000168e-03
5.999990000000000601e-01 2.662000000000000099e+01 3.798000000000000114e+02 1.899999999999999996e-03
6.499989999999999934e-01 2.771000000000000085e+01 3.918999999999999773e+02 2.000000000000000042e-03
6.999990000000000379e-01 2.875000000000000000e+01 4.033000000000000114e+02 2.100000000000000304e-03
7.999990000000000157e-01 3.073999999999999844e+01 4.241999999999999886e+02 2.200000000000000133e-03
8.999989999999999934e-01 3.260000000000000142e+01 4.430000000000000000e+02 2.400000000000000223e-03
9.999990000000000823e-01 3.435999999999999943e+01 4.601000000000000227e+02 2.500000000000000052e-03
1.100000000000000089e+00 3.603999999999999915e+01 4.756999999999999886e+02 2.600000000000000314e-03
1.199999999999999956e+00 3.764000000000000057e+01 4.901000000000000227e+02 2.799999999999999972e-03
1.300000000000000044e+00 3.917999999999999972e+01 5.033999999999999773e+02 2.900000000000000234e-03
1.399999999999999911e+00 4.065999999999999659e+01 5.157999999999999545e+02 3.000000000000000062e-03
1.500000000000000000e+00 4.209000000000000341e+01 5.273999999999999773e+02 3.200000000000000153e-03
1.600000000000000089e+00 4.346999999999999886e+01 5.382000000000000455e+02 3.299999999999999982e-03
1.699999999999999956e+00 4.481000000000000227e+01 5.483999999999999773e+02 3.400000000000000244e-03
1.800000000000000044e+00 4.610000000000000142e+01 5.580000000000000000e+02 3.500000000000000073e-03
2.000000000000000000e+00 4.860000000000000142e+01 5.757999999999999545e+02 3.799999999999999992e-03
2.250000000000000000e+00 5.154999999999999716e+01 5.955000000000000000e+02 4.000000000000000083e-03
2.500000000000000000e+00 5.434000000000000341e+01 6.130000000000000000e+02 4.300000000000000003e-03
2.750000000000000000e+00 5.699000000000000199e+01 6.287000000000000455e+02 4.599999999999999922e-03
3.000000000000000000e+00 5.952000000000000313e+01 6.427999999999999545e+02 4.800000000000000447e-03
3.250000000000000000e+00 6.195000000000000284e+01 6.557000000000000455e+02 5.100000000000000366e-03
3.500000000000000000e+00 6.429000000000000625e+01 6.673999999999999773e+02 5.400000000000000286e-03
3.750000000000000000e+00 6.654999999999999716e+01 6.782000000000000455e+02 5.599999999999999943e-03
4.000000000000000000e+00 6.873000000000000398e+01 6.881000000000000227e+02 5.899999999999999863e-03
4.500000000000000000e+00 7.290000000000000568e+01 7.057999999999999545e+02 6.300000000000000044e-03
5.000000000000000000e+00 7.684000000000000341e+01 7.210000000000000000e+02 6.800000000000000488e-03
5.500000000000000000e+00 8.059000000000000341e+01 7.342000000000000455e+02 7.300000000000000065e-03
6.000000000000000000e+00 8.418000000000000682e+01 7.458999999999999773e+02 7.700000000000000247e-03
6.500000000000000000e+00 8.760999999999999943e+01 7.561000000000000227e+02 8.200000000000000691e-03
7.000000000000000000e+00 9.092000000000000171e+01 7.652000000000000455e+02 8.600000000000000006e-03
8.000000000000000000e+00 9.720000000000000284e+01 7.806000000000000227e+02 9.499999999999999764e-03
9.000000000000000000e+00 1.030999999999999943e+02 7.928999999999999773e+02 1.040000000000000126e-02
1.000000000000000000e+01 1.087000000000000028e+02 8.028999999999999773e+02 1.119999999999999989e-02
1.100000000000000000e+01 1.140000000000000000e+02 8.108999999999999773e+02 1.210000000000000138e-02
1.200000000000000000e+01 1.190000000000000000e+02 8.175000000000000000e+02 1.290000000000000001e-02
1.300000000000000000e+01 1.239000000000000057e+02 8.227999999999999545e+02 1.370000000000000037e-02
1.400000000000000000e+01 1.285999999999999943e+02 8.270000000000000000e+02 1.460000000000000013e-02
1.500000000000000000e+01 1.330999999999999943e+02 8.303999999999999773e+02 1.540000000000000049e-02
1.600000000000000000e+01 1.375000000000000000e+02 8.330000000000000000e+02 1.619999999999999912e-02
1.700000000000000000e+01 1.416999999999999886e+02 8.348999999999999773e+02 1.700000000000000122e-02
1.800000000000000000e+01 1.458000000000000114e+02 8.363999999999999773e+02 1.779999999999999985e-02
2.000000000000000000e+01 1.536999999999999886e+02 8.378999999999999773e+02 1.940000000000000058e-02
2.250000000000000000e+01 1.630000000000000000e+02 8.377000000000000455e+02 2.140000000000000235e-02
2.500000000000000000e+01 1.718000000000000114e+02 8.358999999999999773e+02 2.340000000000000066e-02
2.750000000000000000e+01 1.801999999999999886e+02 8.330000000000000000e+02 2.540000000000000244e-02
3.000000000000000000e+01 1.881999999999999886e+02 8.291000000000000227e+02 2.740000000000000074e-02
3.250000000000000000e+01 1.959000000000000057e+02 8.245000000000000000e+02 2.940000000000000252e-02
3.500000000000000000e+01 2.033000000000000114e+02 8.195000000000000000e+02 3.140000000000000430e-02
3.750000000000000000e+01 2.104000000000000057e+02 8.140000000000000000e+02 3.339999999999999913e-02
4.000000000000000000e+01 2.173000000000000114e+02 8.082999999999999545e+02 3.540000000000000091e-02
4.500000000000000000e+01 2.305000000000000000e+02 7.963999999999999773e+02 3.950000000000000039e-02
5.000000000000000000e+01 2.430000000000000000e+02 7.840000000000000000e+02 4.350000000000000394e-02
5.500000000000000000e+01 2.549000000000000057e+02 7.716000000000000227e+02 4.760000000000000342e-02
6.000000000000000000e+01 2.661999999999999886e+02 7.592000000000000455e+02 5.170000000000000290e-02
6.500000000000000000e+01 2.771000000000000227e+02 7.468999999999999773e+02 5.580000000000000238e-02
7.000000000000000000e+01 2.875000000000000000e+02 7.348999999999999773e+02 5.990000000000000185e-02
8.000000000000000000e+01 3.115000000000000000e+02 7.117999999999999545e+02 6.819999999999999674e-02
9.000000000000000000e+01 3.458000000000000114e+02 6.900000000000000000e+02 7.649999999999999856e-02
1.000000000000000000e+02 3.733999999999999773e+02 6.693999999999999773e+02 8.480000000000000038e-02
1.100000000000000000e+02 3.961000000000000227e+02 6.501000000000000227e+02 9.310000000000000220e-02
1.200000000000000000e+02 4.153000000000000114e+02 6.320000000000000000e+02 1.013000000000000012e-01
1.300000000000000000e+02 4.320000000000000000e+02 6.150000000000000000e+02 1.097000000000000058e-01
1.400000000000000000e+02 4.468000000000000114e+02 5.990000000000000000e+02 1.180000000000000077e-01
1.500000000000000000e+02 4.603000000000000114e+02 5.838999999999999773e+02 1.264000000000000123e-01
1.600000000000000000e+02 4.728000000000000114e+02 5.697000000000000455e+02 1.348000000000000032e-01
1.700000000000000000e+02 4.845000000000000000e+02 5.562000000000000455e+02 1.433000000000000107e-01
1.800000000000000000e+02 4.956000000000000227e+02 5.435000000000000000e+02 1.518000000000000183e-01
2.000000000000000000e+02 5.166000000000000227e+02 5.200000000000000000e+02 1.690000000000000113e-01
2.250000000000000000e+02 5.412000000000000455e+02 4.938000000000000114e+02 1.905000000000000027e-01
2.500000000000000000e+02 5.646000000000000227e+02 4.705000000000000000e+02 2.121999999999999997e-01
2.750000000000000000e+02 5.872000000000000455e+02 4.496999999999999886e+02 2.340000000000000135e-01
3.000000000000000000e+02 6.093999999999999773e+02 4.308999999999999773e+02 2.558000000000000274e-01
3.250000000000000000e+02 6.312999999999999545e+02 4.138999999999999773e+02 2.776000000000000134e-01
3.500000000000000000e+02 6.530000000000000000e+02 3.985000000000000000e+02 2.993999999999999995e-01
3.750000000000000000e+02 6.746000000000000227e+02 3.843000000000000114e+02 3.210999999999999965e-01
4.000000000000000000e+02 6.961000000000000227e+02 3.711999999999999886e+02 3.427000000000000046e-01
4.500000000000000000e+02 7.387999999999999545e+02 3.480000000000000000e+02 3.855000000000000093e-01
5.000000000000000000e+02 7.812999999999999545e+02 3.280000000000000000e+02 4.276000000000000356e-01
5.500000000000000000e+02 8.236000000000000227e+02 3.103999999999999773e+02 4.690000000000000280e-01
6.000000000000000000e+02 8.657000000000000455e+02 2.950000000000000000e+02 5.097000000000000419e-01
6.500000000000000000e+02 9.076000000000000227e+02 2.811999999999999886e+02 5.495999999999999774e-01
7.000000000000000000e+02 9.492000000000000455e+02 2.688000000000000114e+02 5.886000000000000121e-01
8.000000000000000000e+02 1.032000000000000000e+03 2.474000000000000057e+02 6.641000000000000236e-01
9.000000000000000000e+02 1.113000000000000000e+03 2.296999999999999886e+02 7.364000000000000545e-01
1.000000000000000000e+03 1.193000000000000000e+03 2.145999999999999943e+02 8.056000000000000938e-01
1.100000000000000000e+03 1.271000000000000000e+03 2.015999999999999943e+02 8.719999999999999973e-01
1.200000000000000000e+03 1.348000000000000000e+03 1.903000000000000114e+02 9.356000000000000982e-01
1.300000000000000000e+03 1.423000000000000000e+03 1.803000000000000114e+02 9.968000000000000194e-01
1.400000000000000000e+03 1.497000000000000000e+03 1.715000000000000000e+02 1.060000000000000053e+00
1.500000000000000000e+03 1.570000000000000000e+03 1.635999999999999943e+02 1.110000000000000098e+00
