# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.347999999999999865e+00 4.568999999999999773e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.463000000000000078e+00 4.840999999999999659e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.572000000000000064e+00 5.103000000000000114e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.677000000000000046e+00 5.354999999999999716e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.778000000000000025e+00 5.599000000000000199e+01 4.000000000000000192e-04
1.499990000000000004e-02 2.875999999999999890e+00 5.834000000000000341e+01 4.000000000000000192e-04
1.599990000000000093e-02 2.970000000000000195e+00 6.061999999999999744e+01 4.000000000000000192e-04
1.699990000000000182e-02 3.061999999999999833e+00 6.284000000000000341e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.149999999999999911e+00 6.500000000000000000e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.321000000000000174e+00 6.915000000000000568e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.521999999999999797e+00 7.406999999999999318e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.713000000000000078e+00 7.873000000000000398e+01 5.000000000000000104e-04
2.749990000000000073e-02 3.894000000000000128e+00 8.317000000000000171e+01 5.000000000000000104e-04
2.999989999999999948e-02 4.067000000000000171e+00 8.740999999999999659e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.232999999999999652e+00 9.146999999999999886e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.392999999999999794e+00 9.537999999999999545e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.546999999999999709e+00 9.915000000000000568e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.695999999999999730e+00 1.027999999999999972e+02 5.000000000000000104e-04
4.499989999999999546e-02 4.980999999999999872e+00 1.097000000000000028e+02 6.000000000000000559e-04
4.999989999999999990e-02 5.250000000000000000e+00 1.162999999999999972e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.506999999999999673e+00 1.225000000000000000e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.751999999999999780e+00 1.284000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 5.987000000000000099e+00 1.340000000000000000e+02 6.999999999999999929e-04
6.999990000000000379e-02 6.211999999999999744e+00 1.394000000000000057e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.641000000000000014e+00 1.495999999999999943e+02 6.999999999999999929e-04
8.999989999999999379e-02 7.043999999999999595e+00 1.590999999999999943e+02 8.000000000000000383e-04
9.999990000000000268e-02 7.424999999999999822e+00 1.680000000000000000e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.788000000000000256e+00 1.764000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 8.134000000000000341e+00 1.843000000000000114e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.465999999999999304e+00 1.919000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.785999999999999588e+00 1.990999999999999943e+02 9.000000000000000838e-04
1.499989999999999934e-01 9.093999999999999417e+00 2.060000000000000000e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.391999999999999460e+00 2.125999999999999943e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.682000000000000384e+00 2.189000000000000057e+02 1.000000000000000021e-03
1.799989999999999923e-01 9.961999999999999744e+00 2.250000000000000000e+02 1.100000000000000066e-03
1.999990000000000101e-01 1.050000000000000000e+01 2.365999999999999943e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.114000000000000057e+01 2.500999999999999943e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.174000000000000021e+01 2.626000000000000227e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.231000000000000050e+01 2.741999999999999886e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.285999999999999943e+01 2.851999999999999886e+02 1.300000000000000157e-03
3.249990000000000379e-01 1.339000000000000057e+01 2.955000000000000000e+02 1.399999999999999986e-03
3.499990000000000046e-01 1.389000000000000057e+01 3.051999999999999886e+02 1.399999999999999986e-03
3.749990000000000268e-01 1.438000000000000078e+01 3.145000000000000000e+02 1.500000000000000031e-03
3.999990000000000490e-01 1.484999999999999964e+01 3.233000000000000114e+02 1.500000000000000031e-03
4.499990000000000379e-01 1.575000000000000000e+01 3.398000000000000114e+02 1.600000000000000077e-03
4.999990000000000268e-01 1.660000000000000142e+01 3.550000000000000000e+02 1.700000000000000122e-03
5.499990000000000157e-01 1.741000000000000014e+01 3.690000000000000000e+02 1.800000000000000168e-03
