# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 1.352999999999999980e+00 4.068999999999999773e+01 3.000000000000000279e-04
1.099989999999999996e-02 1.419000000000000039e+00 4.300000000000000000e+01 3.000000000000000279e-04
1.199990000000000084e-02 1.481999999999999984e+00 4.521000000000000085e+01 3.000000000000000279e-04
1.299990000000000000e-02 1.542000000000000037e+00 4.732000000000000028e+01 3.000000000000000279e-04
1.399990000000000089e-02 1.600000000000000089e+00 4.935999999999999943e+01 3.000000000000000279e-04
1.499990000000000004e-02 1.657000000000000028e+00 5.132999999999999829e+01 3.000000000000000279e-04
1.599990000000000093e-02 1.711000000000000076e+00 5.322999999999999687e+01 3.000000000000000279e-04
1.699990000000000182e-02 1.764000000000000012e+00 5.507000000000000028e+01 4.000000000000000192e-04
1.799989999999999923e-02 1.814999999999999947e+00 5.685000000000000142e+01 4.000000000000000192e-04
1.999990000000000101e-02 1.913000000000000034e+00 6.028000000000000114e+01 4.000000000000000192e-04
2.249989999999999976e-02 2.028999999999999915e+00 6.431000000000000227e+01 4.000000000000000192e-04
2.499990000000000198e-02 2.138999999999999790e+00 6.809999999999999432e+01 4.000000000000000192e-04
2.749990000000000073e-02 2.242999999999999883e+00 7.170000000000000284e+01 4.000000000000000192e-04
2.999989999999999948e-02 2.342999999999999972e+00 7.512000000000000455e+01 4.000000000000000192e-04
3.249989999999999823e-02 2.438000000000000167e+00 7.837999999999999545e+01 5.000000000000000104e-04
3.499990000000000046e-02 2.531000000000000139e+00 8.150000000000000000e+01 5.000000000000000104e-04
3.749989999999999574e-02 2.619000000000000217e+00 8.450000000000000000e+01 5.000000000000000104e-04
3.999989999999999796e-02 2.705000000000000071e+00 8.739000000000000057e+01 5.000000000000000104e-04
4.499989999999999546e-02 2.869000000000000217e+00 9.285999999999999943e+01 5.000000000000000104e-04
4.999989999999999990e-02 3.024999999999999911e+00 9.798000000000000398e+01 6.000000000000000559e-04
5.499989999999999740e-02 3.172000000000000153e+00 1.027999999999999972e+02 6.000000000000000559e-04
5.999989999999999490e-02 3.313000000000000167e+00 1.074000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 3.448999999999999844e+00 1.117000000000000028e+02 6.000000000000000559e-04
6.999990000000000379e-02 3.579000000000000181e+00 1.157999999999999972e+02 6.999999999999999929e-04
7.999989999999999879e-02 3.826000000000000068e+00 1.235999999999999943e+02 6.999999999999999929e-04
8.999989999999999379e-02 4.057999999999999829e+00 1.306999999999999886e+02 6.999999999999999929e-04
9.999990000000000268e-02 4.277000000000000135e+00 1.373000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 4.485999999999999766e+00 1.435000000000000000e+02 8.000000000000000383e-04
1.199999999999999956e-01 4.685999999999999943e+00 1.493000000000000114e+02 8.000000000000000383e-04
1.300000000000000044e-01 4.876999999999999780e+00 1.548000000000000114e+02 9.000000000000000838e-04
1.399989999999999846e-01 5.060999999999999943e+00 1.600000000000000000e+02 9.000000000000000838e-04
1.499989999999999934e-01 5.238999999999999879e+00 1.649000000000000057e+02 9.000000000000000838e-04
1.599990000000000023e-01 5.410999999999999588e+00 1.695999999999999943e+02 1.000000000000000021e-03
1.699990000000000112e-01 5.576999999999999957e+00 1.740999999999999943e+02 1.000000000000000021e-03
1.799989999999999923e-01 5.738999999999999879e+00 1.784000000000000057e+02 1.000000000000000021e-03
1.999990000000000101e-01 6.049000000000000377e+00 1.865000000000000000e+02 1.100000000000000066e-03
2.249990000000000046e-01 6.416000000000000369e+00 1.958000000000000114e+02 1.200000000000000112e-03
2.499989999999999990e-01 6.762999999999999901e+00 2.044000000000000057e+02 1.200000000000000112e-03
2.749990000000000490e-01 7.092999999999999972e+00 2.123000000000000114e+02 1.300000000000000157e-03
2.999990000000000157e-01 7.408999999999999808e+00 2.195999999999999943e+02 1.399999999999999986e-03
3.249990000000000379e-01 7.711000000000000298e+00 2.264000000000000057e+02 1.399999999999999986e-03
3.499990000000000046e-01 8.003000000000000114e+00 2.328000000000000114e+02 1.500000000000000031e-03
3.749990000000000268e-01 8.282999999999999474e+00 2.389000000000000057e+02 1.600000000000000077e-03
3.999990000000000490e-01 8.554999999999999716e+00 2.445999999999999943e+02 1.600000000000000077e-03
4.499990000000000379e-01 9.073999999999999844e+00 2.550999999999999943e+02 1.700000000000000122e-03
4.999990000000000268e-01 9.564999999999999503e+00 2.646999999999999886e+02 1.800000000000000168e-03
5.499990000000000157e-01 1.002999999999999936e+01 2.733999999999999773e+02 1.899999999999999996e-03
5.999990000000000601e-01 1.048000000000000043e+01 2.813999999999999773e+02 2.000000000000000042e-03
6.499989999999999934e-01 1.091000000000000014e+01 2.888000000000000114e+02 2.100000000000000304e-03
6.999990000000000379e-01 1.132000000000000028e+01 2.956999999999999886e+02 2.200000000000000133e-03
7.999990000000000157e-01 1.209999999999999964e+01 3.081000000000000227e+02 2.400000000000000223e-03
8.999989999999999934e-01 1.283000000000000007e+01 3.190000000000000000e+02 2.600000000000000314e-03
9.999990000000000823e-01 1.352999999999999936e+01 3.286999999999999886e+02 2.799999999999999972e-03
1.100000000000000089e+00 1.418999999999999950e+01 3.373999999999999773e+02 3.000000000000000062e-03
1.199999999999999956e+00 1.482000000000000028e+01 3.453999999999999773e+02 3.200000000000000153e-03
1.300000000000000044e+00 1.541999999999999993e+01 3.526000000000000227e+02 3.299999999999999982e-03
1.399999999999999911e+00 1.601000000000000156e+01 3.591999999999999886e+02 3.500000000000000073e-03
1.500000000000000000e+00 1.657000000000000028e+01 3.651999999999999886e+02 3.700000000000000164e-03
1.600000000000000089e+00 1.710999999999999943e+01 3.708000000000000114e+02 3.799999999999999992e-03
1.699999999999999956e+00 1.764000000000000057e+01 3.760000000000000000e+02 4.000000000000000083e-03
1.800000000000000044e+00 1.814999999999999858e+01 3.808000000000000114e+02 4.200000000000000608e-03
2.000000000000000000e+00 1.912999999999999901e+01 3.895000000000000000e+02 4.500000000000000527e-03
2.250000000000000000e+00 2.028999999999999915e+01 3.988999999999999773e+02 4.899999999999999842e-03
2.500000000000000000e+00 2.139000000000000057e+01 4.068999999999999773e+02 5.300000000000000024e-03
2.750000000000000000e+00 2.242999999999999972e+01 4.138999999999999773e+02 5.599999999999999943e-03
3.000000000000000000e+00 2.342999999999999972e+01 4.198999999999999773e+02 6.000000000000000125e-03
3.250000000000000000e+00 2.439000000000000057e+01 4.251999999999999886e+02 6.400000000000000307e-03
