# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.334999999999999964e+00 3.382000000000000028e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.498000000000000220e+00 3.564000000000000057e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.653000000000000025e+00 3.738000000000000256e+01 3.000000000000000279e-04
1.299990000000000000e-02 3.802000000000000046e+00 3.903999999999999915e+01 3.000000000000000279e-04
1.399990000000000089e-02 3.946000000000000174e+00 4.063000000000000256e+01 3.000000000000000279e-04
1.499990000000000004e-02 4.083999999999999631e+00 4.215999999999999659e+01 3.000000000000000279e-04
1.599990000000000093e-02 4.217999999999999972e+00 4.364000000000000057e+01 3.000000000000000279e-04
1.699990000000000182e-02 4.347999999999999865e+00 4.506000000000000227e+01 3.000000000000000279e-04
1.799989999999999923e-02 4.474000000000000199e+00 4.643999999999999773e+01 3.000000000000000279e-04
1.999990000000000101e-02 4.716000000000000192e+00 4.906000000000000227e+01 4.000000000000000192e-04
2.249989999999999976e-02 5.001999999999999780e+00 5.214000000000000057e+01 4.000000000000000192e-04
2.499990000000000198e-02 5.272999999999999687e+00 5.503000000000000114e+01 4.000000000000000192e-04
2.749990000000000073e-02 5.530000000000000249e+00 5.774000000000000199e+01 4.000000000000000192e-04
2.999989999999999948e-02 5.775999999999999801e+00 6.031000000000000227e+01 4.000000000000000192e-04
3.249989999999999823e-02 6.011999999999999567e+00 6.275000000000000000e+01 4.000000000000000192e-04
3.499990000000000046e-02 6.238999999999999879e+00 6.506999999999999318e+01 5.000000000000000104e-04
3.749989999999999574e-02 6.458000000000000185e+00 6.729000000000000625e+01 5.000000000000000104e-04
3.999989999999999796e-02 6.669999999999999929e+00 6.942000000000000171e+01 5.000000000000000104e-04
4.499989999999999546e-02 7.073999999999999844e+00 7.343000000000000682e+01 5.000000000000000104e-04
4.999989999999999990e-02 7.456999999999999851e+00 7.715999999999999659e+01 6.000000000000000559e-04
