# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.278000000000000025e+00 3.367999999999999972e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.388999999999999790e+00 3.550000000000000000e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.495999999999999996e+00 3.722999999999999687e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.597999999999999865e+00 3.888000000000000256e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.696000000000000174e+00 4.046999999999999886e+01 3.000000000000000279e-04
1.499990000000000004e-02 2.790000000000000036e+00 4.199000000000000199e+01 3.000000000000000279e-04
1.599990000000000093e-02 2.882000000000000117e+00 4.346000000000000085e+01 3.000000000000000279e-04
1.699990000000000182e-02 2.971000000000000085e+00 4.488000000000000256e+01 3.000000000000000279e-04
1.799989999999999923e-02 3.056999999999999940e+00 4.625000000000000000e+01 3.000000000000000279e-04
1.999990000000000101e-02 3.221999999999999975e+00 4.886999999999999744e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.416999999999999815e+00 5.193999999999999773e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.601999999999999869e+00 5.482000000000000028e+01 4.000000000000000192e-04
2.749990000000000073e-02 3.778000000000000025e+00 5.753000000000000114e+01 4.000000000000000192e-04
2.999989999999999948e-02 3.946000000000000174e+00 6.009000000000000341e+01 4.000000000000000192e-04
3.249989999999999823e-02 4.107000000000000206e+00 6.252000000000000313e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.261999999999999567e+00 6.484000000000000341e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.411999999999999922e+00 6.706000000000000227e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.557000000000000384e+00 6.918000000000000682e+01 5.000000000000000104e-04
4.499989999999999546e-02 4.833000000000000185e+00 7.318000000000000682e+01 5.000000000000000104e-04
4.999989999999999990e-02 5.094000000000000306e+00 7.690999999999999659e+01 6.000000000000000559e-04
5.499989999999999740e-02 5.342999999999999972e+00 8.039000000000000057e+01 6.000000000000000559e-04
5.999989999999999490e-02 5.581000000000000405e+00 8.365999999999999659e+01 6.000000000000000559e-04
6.499989999999999934e-02 5.809000000000000163e+00 8.675000000000000000e+01 6.000000000000000559e-04
6.999990000000000379e-02 6.027999999999999581e+00 8.967000000000000171e+01 6.999999999999999929e-04
7.999989999999999879e-02 6.443999999999999950e+00 9.510999999999999943e+01 6.999999999999999929e-04
8.999989999999999379e-02 6.834999999999999964e+00 1.000999999999999943e+02 8.000000000000000383e-04
9.999990000000000268e-02 7.205000000000000071e+00 1.045999999999999943e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.556000000000000050e+00 1.089000000000000057e+02 8.000000000000000383e-04
1.199999999999999956e-01 7.892000000000000348e+00 1.127999999999999972e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.214999999999999858e+00 1.165000000000000000e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.525000000000000355e+00 1.200000000000000000e+02 1.000000000000000021e-03
1.499989999999999934e-01 8.823999999999999844e+00 1.232999999999999972e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.112999999999999545e+00 1.264000000000000057e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.394000000000000128e+00 1.294000000000000057e+02 1.100000000000000066e-03
1.799989999999999923e-01 9.666000000000000369e+00 1.321999999999999886e+02 1.100000000000000066e-03
1.999990000000000101e-01 1.018999999999999950e+01 1.374000000000000057e+02 1.200000000000000112e-03
2.249990000000000046e-01 1.081000000000000050e+01 1.434000000000000057e+02 1.300000000000000157e-03
2.499989999999999990e-01 1.139000000000000057e+01 1.488000000000000114e+02 1.300000000000000157e-03
2.749990000000000490e-01 1.194999999999999929e+01 1.536999999999999886e+02 1.399999999999999986e-03
2.999990000000000157e-01 1.248000000000000043e+01 1.583000000000000114e+02 1.500000000000000031e-03
3.249990000000000379e-01 1.299000000000000021e+01 1.625000000000000000e+02 1.600000000000000077e-03
3.499990000000000046e-01 1.348000000000000043e+01 1.664000000000000057e+02 1.600000000000000077e-03
3.749990000000000268e-01 1.394999999999999929e+01 1.700000000000000000e+02 1.700000000000000122e-03
3.999990000000000490e-01 1.441000000000000014e+01 1.734000000000000057e+02 1.800000000000000168e-03
4.499990000000000379e-01 1.527999999999999936e+01 1.795999999999999943e+02 1.899999999999999996e-03
4.999990000000000268e-01 1.610999999999999943e+01 1.851999999999999886e+02 2.100000000000000304e-03
5.499990000000000157e-01 1.689999999999999858e+01 1.900999999999999943e+02 2.200000000000000133e-03
5.999990000000000601e-01 1.764999999999999858e+01 1.946999999999999886e+02 2.299999999999999961e-03
6.499989999999999934e-01 1.837000000000000099e+01 1.988000000000000114e+02 2.400000000000000223e-03
6.999990000000000379e-01 1.905999999999999872e+01 2.025000000000000000e+02 2.600000000000000314e-03
7.999990000000000157e-01 2.037999999999999901e+01 2.091999999999999886e+02 2.799999999999999972e-03
8.999989999999999934e-01 2.162000000000000099e+01 2.149000000000000057e+02 3.000000000000000062e-03
9.999990000000000823e-01 2.278999999999999915e+01 2.199000000000000057e+02 3.299999999999999982e-03
1.100000000000000089e+00 2.389999999999999858e+01 2.243000000000000114e+02 3.500000000000000073e-03
1.199999999999999956e+00 2.496000000000000085e+01 2.281999999999999886e+02 3.700000000000000164e-03
1.300000000000000044e+00 2.598000000000000043e+01 2.315999999999999943e+02 4.000000000000000083e-03
1.399999999999999911e+00 2.696000000000000085e+01 2.346999999999999886e+02 4.200000000000000608e-03
1.500000000000000000e+00 2.791000000000000014e+01 2.374000000000000057e+02 4.400000000000000265e-03
1.600000000000000089e+00 2.882000000000000028e+01 2.399000000000000057e+02 4.599999999999999922e-03
1.699999999999999956e+00 2.971000000000000085e+01 2.421999999999999886e+02 4.800000000000000447e-03
1.800000000000000044e+00 3.057000000000000028e+01 2.441999999999999886e+02 5.100000000000000366e-03
2.000000000000000000e+00 3.222999999999999687e+01 2.476999999999999886e+02 5.500000000000000548e-03
2.250000000000000000e+00 3.417999999999999972e+01 2.513000000000000114e+02 6.000000000000000125e-03
2.500000000000000000e+00 3.603000000000000114e+01 2.540999999999999943e+02 6.500000000000000569e-03
2.750000000000000000e+00 3.778999999999999915e+01 2.563999999999999773e+02 7.100000000000000408e-03
3.000000000000000000e+00 3.946999999999999886e+01 2.581999999999999886e+02 7.599999999999999985e-03
3.250000000000000000e+00 4.107999999999999829e+01 2.596000000000000227e+02 8.099999999999999561e-03
3.500000000000000000e+00 4.263000000000000256e+01 2.606999999999999886e+02 8.600000000000000006e-03
3.750000000000000000e+00 4.413000000000000256e+01 2.615000000000000000e+02 9.100000000000000450e-03
4.000000000000000000e+00 4.557999999999999829e+01 2.621000000000000227e+02 9.600000000000000894e-03
4.500000000000000000e+00 4.834000000000000341e+01 2.628000000000000114e+02 1.070000000000000118e-02
5.000000000000000000e+00 5.096000000000000085e+01 2.628999999999999773e+02 1.170000000000000033e-02
5.500000000000000000e+00 5.345000000000000284e+01 2.626000000000000227e+02 1.270000000000000122e-02
6.000000000000000000e+00 5.582000000000000028e+01 2.618999999999999773e+02 1.370000000000000037e-02
6.500000000000000000e+00 5.810000000000000142e+01 2.610000000000000000e+02 1.480000000000000066e-02
7.000000000000000000e+00 6.029999999999999716e+01 2.598999999999999773e+02 1.580000000000000154e-02
8.000000000000000000e+00 6.445999999999999375e+01 2.571999999999999886e+02 1.789999999999999925e-02
9.000000000000000000e+00 6.837000000000000455e+01 2.541999999999999886e+02 2.000000000000000042e-02
1.000000000000000000e+01 7.206999999999999318e+01 2.510000000000000000e+02 2.210000000000000159e-02
1.100000000000000000e+01 7.559000000000000341e+01 2.476999999999999886e+02 2.420000000000000276e-02
1.200000000000000000e+01 7.895999999999999375e+01 2.443000000000000114e+02 2.630000000000000046e-02
1.300000000000000000e+01 8.218000000000000682e+01 2.410000000000000000e+02 2.850000000000000103e-02
1.400000000000000000e+01 8.529000000000000625e+01 2.375999999999999943e+02 3.060000000000000220e-02
1.500000000000000000e+01 8.828000000000000114e+01 2.343000000000000114e+02 3.280000000000000276e-02
1.600000000000000000e+01 9.118000000000000682e+01 2.310000000000000000e+02 3.500000000000000333e-02
1.700000000000000000e+01 9.398999999999999488e+01 2.278000000000000114e+02 3.720000000000000390e-02
1.800000000000000000e+01 9.670999999999999375e+01 2.246999999999999886e+02 3.940000000000000446e-02
2.000000000000000000e+01 1.019000000000000057e+02 2.186999999999999886e+02 4.390000000000000152e-02
2.250000000000000000e+01 1.080999999999999943e+02 2.115999999999999943e+02 4.960000000000000520e-02
2.500000000000000000e+01 1.140000000000000000e+02 2.050000000000000000e+02 5.540000000000000480e-02
2.750000000000000000e+01 1.195999999999999943e+02 1.988000000000000114e+02 6.120000000000000440e-02
3.000000000000000000e+01 1.249000000000000057e+02 1.930000000000000000e+02 6.710000000000000686e-02
3.250000000000000000e+01 1.301999999999999886e+02 1.875999999999999943e+02 7.300000000000000933e-02
3.500000000000000000e+01 1.358000000000000114e+02 1.825000000000000000e+02 7.900000000000000078e-02
3.750000000000000000e+01 1.409000000000000057e+02 1.778000000000000114e+02 8.490000000000000324e-02
4.000000000000000000e+01 1.456999999999999886e+02 1.733000000000000114e+02 9.099999999999999756e-02
4.500000000000000000e+01 1.543000000000000114e+02 1.650999999999999943e+02 1.031000000000000111e-01
5.000000000000000000e+01 1.619000000000000057e+02 1.578000000000000114e+02 1.152999999999999997e-01
5.500000000000000000e+01 1.688000000000000114e+02 1.510999999999999943e+02 1.277000000000000079e-01
6.000000000000000000e+01 1.750999999999999943e+02 1.451999999999999886e+02 1.401000000000000023e-01
6.500000000000000000e+01 1.810999999999999943e+02 1.396999999999999886e+02 1.526000000000000134e-01
7.000000000000000000e+01 1.866999999999999886e+02 1.346999999999999886e+02 1.652000000000000135e-01
8.000000000000000000e+01 1.971999999999999886e+02 1.259000000000000057e+02 1.905000000000000027e-01
9.000000000000000000e+01 2.069000000000000057e+02 1.184000000000000057e+02 2.159000000000000086e-01
1.000000000000000000e+02 2.159000000000000057e+02 1.117999999999999972e+02 2.414000000000000035e-01
1.100000000000000000e+02 2.245999999999999943e+02 1.060000000000000000e+02 2.670000000000000151e-01
1.200000000000000000e+02 2.328000000000000114e+02 1.009000000000000057e+02 2.923999999999999932e-01
1.300000000000000000e+02 2.408000000000000114e+02 9.634000000000000341e+01 3.178000000000000269e-01
1.400000000000000000e+02 2.485999999999999943e+02 9.223000000000000398e+01 3.431000000000000161e-01
1.500000000000000000e+02 2.561999999999999886e+02 8.851000000000000512e+01 3.683000000000000163e-01
1.600000000000000000e+02 2.636999999999999886e+02 8.512000000000000455e+01 3.933000000000000385e-01
1.700000000000000000e+02 2.711000000000000227e+02 8.201999999999999602e+01 4.181000000000000272e-01
1.800000000000000000e+02 2.783999999999999773e+02 7.917000000000000171e+01 4.428000000000000269e-01
2.000000000000000000e+02 2.928000000000000114e+02 7.409999999999999432e+01 4.914000000000000035e-01
2.250000000000000000e+02 3.106000000000000227e+02 6.871999999999999886e+01 5.510000000000000453e-01
2.500000000000000000e+02 3.281999999999999886e+02 6.415999999999999659e+01 6.090999999999999748e-01
2.750000000000000000e+02 3.456999999999999886e+02 6.025000000000000000e+01 6.657000000000000695e-01
3.000000000000000000e+02 3.631999999999999886e+02 5.684000000000000341e+01 7.207000000000000073e-01
3.250000000000000000e+02 3.806000000000000227e+02 5.384000000000000341e+01 7.741999999999999993e-01
3.500000000000000000e+02 3.978999999999999773e+02 5.117999999999999972e+01 8.262000000000000455e-01
3.750000000000000000e+02 4.151000000000000227e+02 4.879999999999999716e+01 8.767000000000000348e-01
4.000000000000000000e+02 4.323000000000000114e+02 4.665999999999999659e+01 9.259000000000000563e-01
4.500000000000000000e+02 4.663999999999999773e+02 4.296000000000000085e+01 1.020000000000000018e+00
5.000000000000000000e+02 5.001000000000000227e+02 3.985999999999999943e+01 1.110000000000000098e+00
5.500000000000000000e+02 5.333999999999999773e+02 3.721999999999999886e+01 1.189999999999999947e+00
6.000000000000000000e+02 5.661000000000000227e+02 3.493999999999999773e+01 1.280000000000000027e+00
6.500000000000000000e+02 5.982999999999999545e+02 3.296000000000000085e+01 1.350000000000000089e+00
7.000000000000000000e+02 6.298999999999999773e+02 3.121000000000000085e+01 1.429999999999999938e+00
8.000000000000000000e+02 6.912000000000000455e+02 2.826999999999999957e+01 1.570000000000000062e+00
9.000000000000000000e+02 7.498999999999999773e+02 2.587999999999999901e+01 1.689999999999999947e+00
1.000000000000000000e+03 8.058999999999999773e+02 2.389999999999999858e+01 1.820000000000000062e+00
1.100000000000000000e+03 8.592999999999999545e+02 2.221999999999999886e+01 1.929999999999999938e+00
1.200000000000000000e+03 9.100000000000000000e+02 2.078999999999999915e+01 2.040000000000000036e+00
1.300000000000000000e+03 9.582999999999999545e+02 1.955000000000000071e+01 2.140000000000000124e+00
1.400000000000000000e+03 1.004000000000000000e+03 1.846000000000000085e+01 2.240000000000000213e+00
1.500000000000000000e+03 1.048000000000000000e+03 1.748999999999999844e+01 2.330000000000000071e+00
1.600000000000000000e+03 1.089000000000000000e+03 1.662999999999999901e+01 2.419999999999999929e+00
1.700000000000000000e+03 1.128000000000000000e+03 1.585999999999999943e+01 2.509999999999999787e+00
1.800000000000000000e+03 1.165000000000000000e+03 1.516000000000000014e+01 2.589999999999999858e+00
2.000000000000000000e+03 1.234000000000000000e+03 1.394999999999999929e+01 2.759999999999999787e+00
2.250000000000000000e+03 1.312000000000000000e+03 1.269999999999999929e+01 2.950000000000000178e+00
2.500000000000000000e+03 1.380000000000000000e+03 1.167999999999999972e+01 3.129999999999999893e+00
2.750000000000000000e+03 1.441000000000000000e+03 1.082000000000000028e+01 3.299999999999999822e+00
3.000000000000000000e+03 1.496000000000000000e+03 1.008000000000000007e+01 3.470000000000000195e+00
3.250000000000000000e+03 1.546000000000000000e+03 9.449999999999999289e+00 3.629999999999999893e+00
3.500000000000000000e+03 1.592000000000000000e+03 8.897000000000000242e+00 3.790000000000000036e+00
3.750000000000000000e+03 1.634000000000000000e+03 8.410999999999999588e+00 3.939999999999999947e+00
4.000000000000000000e+03 1.673000000000000000e+03 7.979000000000000092e+00 4.089999999999999858e+00
4.500000000000000000e+03 1.744000000000000000e+03 7.243999999999999773e+00 4.379999999999999893e+00
5.000000000000000000e+03 1.808000000000000000e+03 6.641000000000000014e+00 4.660000000000000142e+00
5.500000000000000000e+03 1.866000000000000000e+03 6.137999999999999901e+00 4.929999999999999716e+00
6.000000000000000000e+03 1.918000000000000000e+03 5.709999999999999964e+00 5.190000000000000391e+00
6.500000000000000000e+03 1.964000000000000000e+03 5.341999999999999638e+00 5.450000000000000178e+00
7.000000000000000000e+03 2.005000000000000000e+03 5.022000000000000242e+00 5.700000000000000178e+00
8.000000000000000000e+03 2.069000000000000000e+03 4.490000000000000213e+00 6.190000000000000391e+00
9.000000000000000000e+03 2.110000000000000000e+03 4.067000000000000171e+00 6.669999999999999929e+00
1.000000000000000000e+04 2.132000000000000000e+03 3.721000000000000085e+00 7.139999999999999680e+00
