# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.646999999999999797e+00 4.267999999999999972e+01 3.000000000000000279e-04
1.099989999999999996e-02 3.825000000000000178e+00 4.514000000000000057e+01 3.000000000000000279e-04
1.199990000000000084e-02 3.995000000000000107e+00 4.750000000000000000e+01 3.000000000000000279e-04
1.299990000000000000e-02 4.158000000000000362e+00 4.977000000000000313e+01 3.000000000000000279e-04
1.399990000000000089e-02 4.315000000000000391e+00 5.195000000000000284e+01 3.000000000000000279e-04
1.499990000000000004e-02 4.466000000000000192e+00 5.406000000000000227e+01 3.000000000000000279e-04
1.599990000000000093e-02 4.613000000000000433e+00 5.610000000000000142e+01 3.000000000000000279e-04
1.699990000000000182e-02 4.754999999999999893e+00 5.807000000000000028e+01 4.000000000000000192e-04
1.799989999999999923e-02 4.892999999999999794e+00 5.999000000000000199e+01 4.000000000000000192e-04
1.999990000000000101e-02 5.157000000000000028e+00 6.367999999999999972e+01 4.000000000000000192e-04
2.249989999999999976e-02 5.469999999999999751e+00 6.803000000000000114e+01 4.000000000000000192e-04
2.499990000000000198e-02 5.766000000000000014e+00 7.212999999999999545e+01 4.000000000000000192e-04
2.749990000000000073e-02 6.048000000000000043e+00 7.603000000000000114e+01 4.000000000000000192e-04
2.999989999999999948e-02 6.317000000000000171e+00 7.973999999999999488e+01 4.000000000000000192e-04
3.249989999999999823e-02 6.573999999999999844e+00 8.328000000000000114e+01 5.000000000000000104e-04
3.499990000000000046e-02 6.823000000000000398e+00 8.668999999999999773e+01 5.000000000000000104e-04
3.749989999999999574e-02 7.062000000000000277e+00 8.995999999999999375e+01 5.000000000000000104e-04
3.999989999999999796e-02 7.293999999999999595e+00 9.310999999999999943e+01 5.000000000000000104e-04
4.499989999999999546e-02 7.735999999999999766e+00 9.909000000000000341e+01 5.000000000000000104e-04
4.999989999999999990e-02 8.154999999999999361e+00 1.047000000000000028e+02 6.000000000000000559e-04
5.499989999999999740e-02 8.553000000000000824e+00 1.100000000000000000e+02 6.000000000000000559e-04
5.999989999999999490e-02 8.932999999999999829e+00 1.150000000000000000e+02 6.000000000000000559e-04
6.499989999999999934e-02 9.298000000000000043e+00 1.197999999999999972e+02 6.000000000000000559e-04
6.999990000000000379e-02 9.648999999999999133e+00 1.244000000000000057e+02 6.000000000000000559e-04
7.999989999999999879e-02 1.031000000000000050e+01 1.329000000000000057e+02 6.999999999999999929e-04
8.999989999999999379e-02 1.093999999999999950e+01 1.409000000000000057e+02 6.999999999999999929e-04
9.999990000000000268e-02 1.152999999999999936e+01 1.483000000000000114e+02 8.000000000000000383e-04
1.100000000000000006e-01 1.209999999999999964e+01 1.551999999999999886e+02 8.000000000000000383e-04
1.199999999999999956e-01 1.263000000000000078e+01 1.616999999999999886e+02 8.000000000000000383e-04
1.300000000000000044e-01 1.315000000000000036e+01 1.679000000000000057e+02 9.000000000000000838e-04
1.399989999999999846e-01 1.365000000000000036e+01 1.736999999999999886e+02 9.000000000000000838e-04
1.499989999999999934e-01 1.411999999999999922e+01 1.793000000000000114e+02 9.000000000000000838e-04
1.599990000000000023e-01 1.458999999999999986e+01 1.845999999999999943e+02 1.000000000000000021e-03
1.699990000000000112e-01 1.503999999999999915e+01 1.896999999999999886e+02 1.000000000000000021e-03
1.799989999999999923e-01 1.547000000000000064e+01 1.945999999999999943e+02 1.000000000000000021e-03
1.999990000000000101e-01 1.630999999999999872e+01 2.039000000000000057e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.730000000000000071e+01 2.145000000000000000e+02 1.100000000000000066e-03
2.499989999999999990e-01 1.823000000000000043e+01 2.243000000000000114e+02 1.200000000000000112e-03
2.749990000000000490e-01 1.912000000000000099e+01 2.334000000000000057e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.996999999999999886e+01 2.419000000000000057e+02 1.300000000000000157e-03
3.249990000000000379e-01 2.078999999999999915e+01 2.498000000000000114e+02 1.399999999999999986e-03
3.499990000000000046e-01 2.157999999999999829e+01 2.573000000000000114e+02 1.399999999999999986e-03
3.749990000000000268e-01 2.232999999999999829e+01 2.643999999999999773e+02 1.500000000000000031e-03
3.999990000000000490e-01 2.305999999999999872e+01 2.710000000000000000e+02 1.500000000000000031e-03
4.499990000000000379e-01 2.446000000000000085e+01 2.833999999999999773e+02 1.600000000000000077e-03
4.999990000000000268e-01 2.578999999999999915e+01 2.946999999999999886e+02 1.700000000000000122e-03
5.499990000000000157e-01 2.705000000000000071e+01 3.051000000000000227e+02 1.800000000000000168e-03
5.999990000000000601e-01 2.825000000000000000e+01 3.146000000000000227e+02 1.899999999999999996e-03
6.499989999999999934e-01 2.939999999999999858e+01 3.235000000000000000e+02 2.000000000000000042e-03
6.999990000000000379e-01 3.051000000000000156e+01 3.316999999999999886e+02 2.100000000000000304e-03
7.999990000000000157e-01 3.261999999999999744e+01 3.466999999999999886e+02 2.299999999999999961e-03
8.999989999999999934e-01 3.460000000000000142e+01 3.601000000000000227e+02 2.500000000000000052e-03
9.999990000000000823e-01 3.646999999999999886e+01 3.720000000000000000e+02 2.600000000000000314e-03
1.100000000000000089e+00 3.825000000000000000e+01 3.828000000000000114e+02 2.799999999999999972e-03
1.199999999999999956e+00 3.995000000000000284e+01 3.926000000000000227e+02 2.900000000000000234e-03
1.300000000000000044e+00 4.157999999999999829e+01 4.016999999999999886e+02 3.100000000000000325e-03
1.399999999999999911e+00 4.314999999999999858e+01 4.100000000000000000e+02 3.200000000000000153e-03
1.500000000000000000e+00 4.465999999999999659e+01 4.176000000000000227e+02 3.400000000000000244e-03
1.600000000000000089e+00 4.613000000000000256e+01 4.248000000000000114e+02 3.500000000000000073e-03
1.699999999999999956e+00 4.754999999999999716e+01 4.313999999999999773e+02 3.700000000000000164e-03
1.800000000000000044e+00 4.892999999999999972e+01 4.376000000000000227e+02 3.799999999999999992e-03
2.000000000000000000e+00 5.157000000000000028e+01 4.488999999999999773e+02 4.100000000000000346e-03
2.250000000000000000e+00 5.470000000000000284e+01 4.611999999999999886e+02 4.400000000000000265e-03
2.500000000000000000e+00 5.765999999999999659e+01 4.720000000000000000e+02 4.700000000000000185e-03
2.750000000000000000e+00 6.047999999999999687e+01 4.813999999999999773e+02 5.100000000000000366e-03
3.000000000000000000e+00 6.317000000000000171e+01 4.896999999999999886e+02 5.400000000000000286e-03
3.250000000000000000e+00 6.575000000000000000e+01 4.971000000000000227e+02 5.700000000000000205e-03
3.500000000000000000e+00 6.823000000000000398e+01 5.036999999999999886e+02 6.000000000000000125e-03
3.750000000000000000e+00 7.062000000000000455e+01 5.096000000000000227e+02 6.300000000000000044e-03
4.000000000000000000e+00 7.293999999999999773e+01 5.150000000000000000e+02 6.599999999999999964e-03
4.500000000000000000e+00 7.735999999999999943e+01 5.242000000000000455e+02 7.200000000000000670e-03
5.000000000000000000e+00 8.154999999999999716e+01 5.317999999999999545e+02 7.800000000000000509e-03
5.500000000000000000e+00 8.553000000000000114e+01 5.381000000000000227e+02 8.400000000000001216e-03
6.000000000000000000e+00 8.932999999999999829e+01 5.432999999999999545e+02 8.899999999999999925e-03
6.500000000000000000e+00 9.298000000000000398e+01 5.477000000000000455e+02 9.499999999999999764e-03
7.000000000000000000e+00 9.648999999999999488e+01 5.512999999999999545e+02 1.010000000000000134e-02
8.000000000000000000e+00 1.032000000000000028e+02 5.568999999999999773e+02 1.119999999999999989e-02
9.000000000000000000e+00 1.094000000000000057e+02 5.605000000000000000e+02 1.230000000000000017e-02
1.000000000000000000e+01 1.152999999999999972e+02 5.628999999999999773e+02 1.340000000000000045e-02
1.100000000000000000e+01 1.210000000000000000e+02 5.641000000000000227e+02 1.450000000000000074e-02
1.200000000000000000e+01 1.262999999999999972e+02 5.645000000000000000e+02 1.560000000000000102e-02
1.300000000000000000e+01 1.315000000000000000e+02 5.642999999999999545e+02 1.669999999999999957e-02
1.400000000000000000e+01 1.365000000000000000e+02 5.636000000000000227e+02 1.770000000000000046e-02
1.500000000000000000e+01 1.411999999999999886e+02 5.623999999999999773e+02 1.880000000000000074e-02
1.600000000000000000e+01 1.459000000000000057e+02 5.607999999999999545e+02 1.990000000000000102e-02
1.700000000000000000e+01 1.504000000000000057e+02 5.590000000000000000e+02 2.100000000000000130e-02
1.800000000000000000e+01 1.546999999999999886e+02 5.570000000000000000e+02 2.210000000000000159e-02
2.000000000000000000e+01 1.630999999999999943e+02 5.523999999999999773e+02 2.420000000000000276e-02
2.250000000000000000e+01 1.730000000000000000e+02 5.460000000000000000e+02 2.690000000000000030e-02
2.500000000000000000e+01 1.823000000000000114e+02 5.391000000000000227e+02 2.970000000000000070e-02
2.750000000000000000e+01 1.911999999999999886e+02 5.318999999999999773e+02 3.239999999999999825e-02
3.000000000000000000e+01 1.998000000000000114e+02 5.247000000000000455e+02 3.509999999999999926e-02
3.250000000000000000e+01 2.079000000000000057e+02 5.173999999999999773e+02 3.790000000000000313e-02
3.500000000000000000e+01 2.158000000000000114e+02 5.101999999999999886e+02 4.060000000000000414e-02
3.750000000000000000e+01 2.233000000000000114e+02 5.030000000000000000e+02 4.340000000000000108e-02
4.000000000000000000e+01 2.306999999999999886e+02 4.960000000000000000e+02 4.620000000000000495e-02
4.500000000000000000e+01 2.445999999999999943e+02 4.825000000000000000e+02 5.180000000000000576e-02
5.000000000000000000e+01 2.578999999999999773e+02 4.695000000000000000e+02 5.739999999999999963e-02
5.500000000000000000e+01 2.705000000000000000e+02 4.571999999999999886e+02 6.300000000000000044e-02
6.000000000000000000e+01 2.838999999999999773e+02 4.456000000000000227e+02 6.869999999999999718e-02
6.500000000000000000e+01 2.980000000000000000e+02 4.346000000000000227e+02 7.440000000000000779e-02
7.000000000000000000e+01 3.116999999999999886e+02 4.241000000000000227e+02 8.010000000000000453e-02
8.000000000000000000e+01 3.370000000000000000e+02 4.048999999999999773e+02 9.149999999999999800e-02
9.000000000000000000e+01 3.588000000000000114e+02 3.875000000000000000e+02 1.029000000000000054e-01
1.000000000000000000e+02 3.771999999999999886e+02 3.718000000000000114e+02 1.142999999999999988e-01
1.100000000000000000e+02 3.928000000000000114e+02 3.575000000000000000e+02 1.257000000000000062e-01
1.200000000000000000e+02 4.061999999999999886e+02 3.443999999999999773e+02 1.372000000000000164e-01
1.300000000000000000e+02 4.178000000000000114e+02 3.325000000000000000e+02 1.488000000000000156e-01
1.400000000000000000e+02 4.281000000000000227e+02 3.213999999999999773e+02 1.604000000000000148e-01
1.500000000000000000e+02 4.373999999999999773e+02 3.111999999999999886e+02 1.721000000000000030e-01
1.600000000000000000e+02 4.458999999999999773e+02 3.018000000000000114e+02 1.838000000000000189e-01
1.700000000000000000e+02 4.540000000000000000e+02 2.930000000000000000e+02 1.957000000000000128e-01
1.800000000000000000e+02 4.616999999999999886e+02 2.848000000000000114e+02 2.075000000000000178e-01
2.000000000000000000e+02 4.765000000000000000e+02 2.698000000000000114e+02 2.313000000000000056e-01
