# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 2.491999999999999993e+00 4.281000000000000227e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.612999999999999989e+00 4.528000000000000114e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.729999999999999982e+00 4.764999999999999858e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.841000000000000192e+00 4.992000000000000171e+01 3.000000000000000279e-04
1.399990000000000089e-02 2.947999999999999954e+00 5.210999999999999943e+01 3.000000000000000279e-04
1.499990000000000004e-02 3.052000000000000046e+00 5.421999999999999886e+01 3.000000000000000279e-04
1.599990000000000093e-02 3.152000000000000135e+00 5.627000000000000313e+01 3.000000000000000279e-04
1.699990000000000182e-02 3.249000000000000110e+00 5.825000000000000000e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.342999999999999972e+00 6.017999999999999972e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.524000000000000021e+00 6.388000000000000256e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.737999999999999989e+00 6.823999999999999488e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.939999999999999947e+00 7.235999999999999943e+01 4.000000000000000192e-04
2.749990000000000073e-02 4.131999999999999673e+00 7.626999999999999602e+01 4.000000000000000192e-04
2.999989999999999948e-02 4.315999999999999837e+00 7.998999999999999488e+01 4.000000000000000192e-04
3.249989999999999823e-02 4.491999999999999993e+00 8.354999999999999716e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.661999999999999922e+00 8.695999999999999375e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.825000000000000178e+00 9.023999999999999488e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.983999999999999986e+00 9.340999999999999659e+01 5.000000000000000104e-04
4.499989999999999546e-02 5.285999999999999588e+00 9.940999999999999659e+01 5.000000000000000104e-04
4.999989999999999990e-02 5.572000000000000064e+00 1.050000000000000000e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.844000000000000306e+00 1.104000000000000057e+02 6.000000000000000559e-04
5.999989999999999490e-02 6.104000000000000092e+00 1.154000000000000057e+02 6.000000000000000559e-04
6.499989999999999934e-02 6.352999999999999758e+00 1.202000000000000028e+02 6.000000000000000559e-04
6.999990000000000379e-02 6.592999999999999972e+00 1.247999999999999972e+02 6.999999999999999929e-04
7.999989999999999879e-02 7.048000000000000043e+00 1.334000000000000057e+02 6.999999999999999929e-04
