# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 4.918999999999999595e+00 3.030000000000000071e+01 6.999999999999999929e-04
1.099989999999999996e-02 5.158999999999999808e+00 3.235999999999999943e+01 6.999999999999999929e-04
1.199990000000000084e-02 5.387999999999999901e+00 3.435999999999999943e+01 6.999999999999999929e-04
1.299990000000000000e-02 5.607999999999999652e+00 3.631000000000000227e+01 6.999999999999999929e-04
1.399990000000000089e-02 5.820000000000000284e+00 3.820000000000000284e+01 8.000000000000000383e-04
1.499990000000000004e-02 6.024000000000000021e+00 4.004999999999999716e+01 8.000000000000000383e-04
1.599990000000000093e-02 6.222000000000000419e+00 4.185999999999999943e+01 8.000000000000000383e-04
1.699990000000000182e-02 6.413000000000000256e+00 4.361999999999999744e+01 8.000000000000000383e-04
1.799989999999999923e-02 6.599000000000000199e+00 4.535000000000000142e+01 8.000000000000000383e-04
1.999990000000000101e-02 6.956000000000000405e+00 4.871999999999999886e+01 9.000000000000000838e-04
2.249989999999999976e-02 7.378000000000000114e+00 5.275999999999999801e+01 9.000000000000000838e-04
2.499990000000000198e-02 7.777000000000000135e+00 5.664000000000000057e+01 9.000000000000000838e-04
2.749990000000000073e-02 8.157000000000000028e+00 6.039000000000000057e+01 1.000000000000000021e-03
2.999989999999999948e-02 8.519000000000000128e+00 6.401000000000000512e+01 1.000000000000000021e-03
3.249989999999999823e-02 8.867000000000000881e+00 6.753000000000000114e+01 1.000000000000000021e-03
3.499990000000000046e-02 9.201999999999999957e+00 7.093999999999999773e+01 1.100000000000000066e-03
3.749989999999999574e-02 9.525000000000000355e+00 7.426999999999999602e+01 1.100000000000000066e-03
3.999989999999999796e-02 9.836999999999999744e+00 7.751000000000000512e+01 1.100000000000000066e-03
4.499989999999999546e-02 1.042999999999999972e+01 8.378000000000000114e+01 1.200000000000000112e-03
4.999989999999999990e-02 1.100000000000000000e+01 8.979000000000000625e+01 1.200000000000000112e-03
5.499989999999999740e-02 1.153999999999999915e+01 9.556999999999999318e+01 1.300000000000000157e-03
5.999989999999999490e-02 1.205000000000000071e+01 1.012000000000000028e+02 1.300000000000000157e-03
6.499989999999999934e-02 1.253999999999999915e+01 1.065999999999999943e+02 1.300000000000000157e-03
6.999990000000000379e-02 1.300999999999999979e+01 1.117999999999999972e+02 1.399999999999999986e-03
7.999989999999999879e-02 1.391000000000000014e+01 1.219000000000000057e+02 1.399999999999999986e-03
8.999989999999999379e-02 1.475999999999999979e+01 1.315000000000000000e+02 1.500000000000000031e-03
9.999990000000000268e-02 1.555000000000000071e+01 1.405999999999999943e+02 1.600000000000000077e-03
1.100000000000000006e-01 1.630999999999999872e+01 1.494000000000000057e+02 1.600000000000000077e-03
1.199999999999999956e-01 1.703999999999999915e+01 1.579000000000000057e+02 1.700000000000000122e-03
1.300000000000000044e-01 1.773000000000000043e+01 1.660999999999999943e+02 1.700000000000000122e-03
1.399989999999999846e-01 1.839999999999999858e+01 1.740000000000000000e+02 1.800000000000000168e-03
1.499989999999999934e-01 1.905000000000000071e+01 1.816999999999999886e+02 1.800000000000000168e-03
1.599990000000000023e-01 1.967000000000000171e+01 1.890999999999999943e+02 1.899999999999999996e-03
1.699990000000000112e-01 2.028000000000000114e+01 1.964000000000000057e+02 1.899999999999999996e-03
1.799989999999999923e-01 2.087000000000000099e+01 2.035000000000000000e+02 1.899999999999999996e-03
1.999990000000000101e-01 2.200000000000000000e+01 2.171999999999999886e+02 2.000000000000000042e-03
2.249990000000000046e-01 2.332999999999999829e+01 2.335999999999999943e+02 2.100000000000000304e-03
2.499989999999999990e-01 2.458999999999999986e+01 2.490999999999999943e+02 2.200000000000000133e-03
2.749990000000000490e-01 2.578999999999999915e+01 2.640000000000000000e+02 2.299999999999999961e-03
2.999990000000000157e-01 2.694000000000000128e+01 2.781999999999999886e+02 2.299999999999999961e-03
3.249990000000000379e-01 2.803999999999999915e+01 2.920000000000000000e+02 2.400000000000000223e-03
3.499990000000000046e-01 2.910000000000000142e+01 3.051999999999999886e+02 2.500000000000000052e-03
3.749990000000000268e-01 3.012000000000000099e+01 3.181000000000000227e+02 2.500000000000000052e-03
3.999990000000000490e-01 3.110999999999999943e+01 3.305000000000000000e+02 2.600000000000000314e-03
4.499990000000000379e-01 3.300000000000000000e+01 3.543999999999999773e+02 2.700000000000000143e-03
4.999990000000000268e-01 3.478000000000000114e+01 3.770000000000000000e+02 2.799999999999999972e-03
5.499990000000000157e-01 3.647999999999999687e+01 3.986000000000000227e+02 2.900000000000000234e-03
5.999990000000000601e-01 3.810000000000000142e+01 4.191999999999999886e+02 3.000000000000000062e-03
6.499989999999999934e-01 3.965999999999999659e+01 4.390000000000000000e+02 3.100000000000000325e-03
6.999990000000000379e-01 4.114999999999999858e+01 4.581000000000000227e+02 3.200000000000000153e-03
7.999990000000000157e-01 4.399000000000000199e+01 4.943000000000000114e+02 3.400000000000000244e-03
8.999989999999999934e-01 4.665999999999999659e+01 5.282000000000000455e+02 3.600000000000000335e-03
9.999990000000000823e-01 4.918999999999999773e+01 5.602999999999999545e+02 3.700000000000000164e-03
1.100000000000000089e+00 5.159000000000000341e+01 5.907999999999999545e+02 3.900000000000000255e-03
1.199999999999999956e+00 5.388000000000000256e+01 6.197999999999999545e+02 4.000000000000000083e-03
1.300000000000000044e+00 5.607999999999999829e+01 6.476000000000000227e+02 4.100000000000000346e-03
1.399999999999999911e+00 5.820000000000000284e+01 6.742000000000000455e+02 4.300000000000000003e-03
1.500000000000000000e+00 6.024000000000000199e+01 6.997999999999999545e+02 4.400000000000000265e-03
1.600000000000000089e+00 6.221999999999999886e+01 7.245000000000000000e+02 4.500000000000000527e-03
1.699999999999999956e+00 6.412999999999999545e+01 7.483999999999999773e+02 4.599999999999999922e-03
1.800000000000000044e+00 6.598999999999999488e+01 7.715000000000000000e+02 4.700000000000000185e-03
2.000000000000000000e+00 6.956000000000000227e+01 8.156000000000000227e+02 4.899999999999999842e-03
2.250000000000000000e+00 7.378000000000000114e+01 8.672999999999999545e+02 5.200000000000000629e-03
2.500000000000000000e+00 7.776999999999999602e+01 9.157000000000000455e+02 5.400000000000000286e-03
2.750000000000000000e+00 8.156999999999999318e+01 9.613999999999999773e+02 5.599999999999999943e-03
3.000000000000000000e+00 8.518999999999999773e+01 1.005000000000000000e+03 5.800000000000000468e-03
3.250000000000000000e+00 8.867000000000000171e+01 1.046000000000000000e+03 6.000000000000000125e-03
3.500000000000000000e+00 9.201999999999999602e+01 1.085000000000000000e+03 6.200000000000000649e-03
3.750000000000000000e+00 9.525000000000000000e+01 1.122000000000000000e+03 6.400000000000000307e-03
4.000000000000000000e+00 9.837000000000000455e+01 1.158000000000000000e+03 6.599999999999999964e-03
4.500000000000000000e+00 1.042999999999999972e+02 1.226000000000000000e+03 7.000000000000000146e-03
5.000000000000000000e+00 1.100000000000000000e+02 1.289000000000000000e+03 7.300000000000000065e-03
5.500000000000000000e+00 1.154000000000000057e+02 1.348000000000000000e+03 7.599999999999999985e-03
6.000000000000000000e+00 1.205000000000000000e+02 1.404000000000000000e+03 7.900000000000000772e-03
6.500000000000000000e+00 1.254000000000000057e+02 1.456000000000000000e+03 8.200000000000000691e-03
7.000000000000000000e+00 1.300999999999999943e+02 1.506000000000000000e+03 8.500000000000000611e-03
8.000000000000000000e+00 1.390999999999999943e+02 1.599000000000000000e+03 9.000000000000001055e-03
9.000000000000000000e+00 1.475999999999999943e+02 1.683000000000000000e+03 9.499999999999999764e-03
1.000000000000000000e+01 1.555000000000000000e+02 1.761000000000000000e+03 1.000000000000000021e-02
1.100000000000000000e+01 1.630999999999999943e+02 1.834000000000000000e+03 1.050000000000000065e-02
1.200000000000000000e+01 1.704000000000000057e+02 1.901000000000000000e+03 1.100000000000000110e-02
1.300000000000000000e+01 1.773000000000000114e+02 1.965000000000000000e+03 1.140000000000000041e-02
1.400000000000000000e+01 1.840000000000000000e+02 2.024000000000000000e+03 1.179999999999999973e-02
1.500000000000000000e+01 1.905000000000000000e+02 2.081000000000000000e+03 1.220000000000000077e-02
1.600000000000000000e+01 1.966999999999999886e+02 2.134000000000000000e+03 1.260000000000000009e-02
1.700000000000000000e+01 2.028000000000000114e+02 2.185000000000000000e+03 1.300000000000000114e-02
1.800000000000000000e+01 2.086999999999999886e+02 2.233000000000000000e+03 1.340000000000000045e-02
2.000000000000000000e+01 2.200000000000000000e+02 2.324000000000000000e+03 1.410000000000000142e-02
2.250000000000000000e+01 2.333000000000000114e+02 2.427000000000000000e+03 1.500000000000000118e-02
2.500000000000000000e+01 2.459000000000000057e+02 2.520000000000000000e+03 1.590000000000000094e-02
2.750000000000000000e+01 2.578999999999999773e+02 2.605000000000000000e+03 1.669999999999999957e-02
3.000000000000000000e+01 2.693999999999999773e+02 2.684000000000000000e+03 1.750000000000000167e-02
3.250000000000000000e+01 2.803999999999999773e+02 2.757000000000000000e+03 1.830000000000000029e-02
3.500000000000000000e+01 2.910000000000000000e+02 2.824000000000000000e+03 1.899999999999999953e-02
3.750000000000000000e+01 3.011999999999999886e+02 2.888000000000000000e+03 1.970000000000000223e-02
4.000000000000000000e+01 3.111000000000000227e+02 2.947000000000000000e+03 2.050000000000000086e-02
4.500000000000000000e+01 3.300000000000000000e+02 3.055000000000000000e+03 2.189999999999999933e-02
5.000000000000000000e+01 3.478000000000000114e+02 3.152000000000000000e+03 2.320000000000000187e-02
5.500000000000000000e+01 3.648000000000000114e+02 3.239000000000000000e+03 2.450000000000000094e-02
6.000000000000000000e+01 3.810000000000000000e+02 3.318000000000000000e+03 2.580000000000000002e-02
6.500000000000000000e+01 3.966000000000000227e+02 3.390000000000000000e+03 2.699999999999999969e-02
7.000000000000000000e+01 4.115000000000000000e+02 3.457000000000000000e+03 2.830000000000000224e-02
8.000000000000000000e+01 4.398999999999999773e+02 3.575000000000000000e+03 3.060000000000000220e-02
9.000000000000000000e+01 4.666000000000000227e+02 3.676000000000000000e+03 3.289999999999999869e-02
1.000000000000000000e+02 4.918999999999999773e+02 3.765000000000000000e+03 3.520000000000000212e-02
1.100000000000000000e+02 5.158999999999999773e+02 3.843000000000000000e+03 3.729999999999999982e-02
1.200000000000000000e+02 5.387999999999999545e+02 3.912000000000000000e+03 3.950000000000000039e-02
1.300000000000000000e+02 5.607999999999999545e+02 3.974000000000000000e+03 4.160000000000000503e-02
1.400000000000000000e+02 5.820000000000000000e+02 4.029000000000000000e+03 4.359999999999999987e-02
1.500000000000000000e+02 6.023999999999999773e+02 4.079000000000000000e+03 4.560000000000000164e-02
1.600000000000000000e+02 6.222000000000000455e+02 4.124000000000000000e+03 4.760000000000000342e-02
1.700000000000000000e+02 6.412999999999999545e+02 4.165000000000000000e+03 4.960000000000000520e-02
1.800000000000000000e+02 6.598999999999999773e+02 4.203000000000000000e+03 5.160000000000000003e-02
2.000000000000000000e+02 6.956000000000000227e+02 4.268000000000000000e+03 5.540000000000000480e-02
2.250000000000000000e+02 7.377999999999999545e+02 4.334000000000000000e+03 6.010000000000000064e-02
2.500000000000000000e+02 7.777000000000000455e+02 4.388000000000000000e+03 6.470000000000000751e-02
2.750000000000000000e+02 8.157000000000000455e+02 4.432000000000000000e+03 6.930000000000000049e-02
3.000000000000000000e+02 8.520000000000000000e+02 4.467000000000000000e+03 7.380000000000000449e-02
3.250000000000000000e+02 8.867999999999999545e+02 4.495000000000000000e+03 7.820000000000000562e-02
3.500000000000000000e+02 9.202000000000000455e+02 4.518000000000000000e+03 8.260000000000000675e-02
3.750000000000000000e+02 9.525000000000000000e+02 4.536000000000000000e+03 8.690000000000000502e-02
