# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990000000000268e-03 3.361000000000000210e+00 3.060000000000000142e+01 6.999999999999999929e-04
1.099989999999999996e-02 3.524999999999999911e+00 3.267999999999999972e+01 6.999999999999999929e-04
1.199990000000000084e-02 3.681999999999999940e+00 3.470000000000000284e+01 6.999999999999999929e-04
1.299990000000000000e-02 3.831999999999999851e+00 3.667000000000000171e+01 8.000000000000000383e-04
1.399990000000000089e-02 3.976999999999999869e+00 3.857999999999999829e+01 8.000000000000000383e-04
1.499990000000000004e-02 4.115999999999999659e+00 4.045000000000000284e+01 8.000000000000000383e-04
1.599990000000000093e-02 4.251000000000000334e+00 4.227000000000000313e+01 8.000000000000000383e-04
1.699990000000000182e-02 4.381999999999999673e+00 4.406000000000000227e+01 8.000000000000000383e-04
1.799989999999999923e-02 4.509000000000000341e+00 4.581000000000000227e+01 9.000000000000000838e-04
1.999990000000000101e-02 4.753000000000000114e+00 4.920000000000000284e+01 9.000000000000000838e-04
2.249989999999999976e-02 5.041000000000000369e+00 5.328000000000000114e+01 9.000000000000000838e-04
2.499990000000000198e-02 5.314000000000000057e+00 5.721000000000000085e+01 1.000000000000000021e-03
2.749990000000000073e-02 5.573000000000000398e+00 6.099000000000000199e+01 1.000000000000000021e-03
2.999989999999999948e-02 5.820999999999999730e+00 6.465000000000000568e+01 1.000000000000000021e-03
3.249989999999999823e-02 6.059000000000000163e+00 6.820000000000000284e+01 1.100000000000000066e-03
3.499990000000000046e-02 6.288000000000000256e+00 7.164000000000000057e+01 1.100000000000000066e-03
3.749989999999999574e-02 6.508000000000000007e+00 7.500000000000000000e+01 1.100000000000000066e-03
3.999989999999999796e-02 6.722000000000000419e+00 7.828000000000000114e+01 1.200000000000000112e-03
4.499989999999999546e-02 7.128999999999999559e+00 8.460999999999999943e+01 1.200000000000000112e-03
4.999989999999999990e-02 7.514999999999999680e+00 9.068000000000000682e+01 1.300000000000000157e-03
5.499989999999999740e-02 7.881999999999999673e+00 9.651999999999999602e+01 1.300000000000000157e-03
5.999989999999999490e-02 8.231999999999999318e+00 1.022000000000000028e+02 1.300000000000000157e-03
6.499989999999999934e-02 8.567999999999999616e+00 1.075999999999999943e+02 1.399999999999999986e-03
6.999990000000000379e-02 8.891999999999999460e+00 1.129000000000000057e+02 1.399999999999999986e-03
7.999989999999999879e-02 9.506000000000000227e+00 1.230999999999999943e+02 1.500000000000000031e-03
8.999989999999999379e-02 1.008000000000000007e+01 1.328000000000000114e+02 1.600000000000000077e-03
9.999990000000000268e-02 1.063000000000000078e+01 1.420000000000000000e+02 1.600000000000000077e-03
1.100000000000000006e-01 1.115000000000000036e+01 1.509000000000000057e+02 1.700000000000000122e-03
1.199999999999999956e-01 1.164000000000000057e+01 1.594000000000000057e+02 1.700000000000000122e-03
1.300000000000000044e-01 1.211999999999999922e+01 1.676999999999999886e+02 1.800000000000000168e-03
1.399989999999999846e-01 1.258000000000000007e+01 1.756999999999999886e+02 1.800000000000000168e-03
1.499989999999999934e-01 1.301999999999999957e+01 1.835000000000000000e+02 1.899999999999999996e-03
1.599990000000000023e-01 1.343999999999999950e+01 1.910000000000000000e+02 1.899999999999999996e-03
1.699990000000000112e-01 1.385999999999999943e+01 1.984000000000000057e+02 2.000000000000000042e-03
1.799989999999999923e-01 1.425999999999999979e+01 2.055000000000000000e+02 2.000000000000000042e-03
1.999990000000000101e-01 1.502999999999999936e+01 2.194000000000000057e+02 2.100000000000000304e-03
2.249990000000000046e-01 1.593999999999999950e+01 2.358000000000000114e+02 2.200000000000000133e-03
2.499989999999999990e-01 1.680000000000000071e+01 2.515000000000000000e+02 2.299999999999999961e-03
